,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
cpt2,0.506606195,linlog_up,0.006122378,0.506606195,0.506606195,0.506606195,0.506606195,0.506606195,0.506606195,0.5066062,0.5066062,0.5066062,0.5066062,0.5066062,0.5066062
rpl38,0.62750025,gaussian_up,0.000365573,0.62750025,0.62750025,0.62750025,0.62750025,0.62750025,0.62750025,0.62750025,0.62750025,0.62750025,0.62750025,0.62750025,0.62750025
RPL37A,0.727874498,gaussian_up,0.021486577,0.727874498,0.727874498,0.727874498,0.727874498,0.727874498,0.727874498,0.7278745,0.7278745,0.7278745,0.7278745,0.7278745,0.7278745
slc1a3a,0.768144316,gaussian_up,5.09E-05,0.768144316,0.768144316,0.768144316,0.768144316,0.768144316,0.768144316,0.76814432,0.76814432,0.76814432,0.76814432,0.76814432,0.76814432
strada,0.981012013,lgaussian_up,5.69E-05,0.981012013,0.981012013,0.981012013,0.981012013,0.981012013,0.981012013,0.98101201,0.98101201,0.98101201,0.98101201,0.98101201,0.98101201
mmp11b,1.039049443,LL.3_down,0.0001691,1.039049443,1.039049443,1.039049443,1.039049443,1.039049443,1.039049443,1.03904944,1.03904944,1.03904944,1.03904944,1.03904944,1.03904944
stk25a,2.276154972,linlog_down,0.014885244,2.276154972,2.276154972,2.276154972,2.276154972,2.276154972,2.276154972,2.27615497,2.27615497,2.27615497,2.27615497,2.27615497,2.27615497
orc5,2.441692266,linlog_up,0.018115602,2.441692266,2.441692266,2.441692266,2.441692266,2.441692266,2.441692266,2.44169227,2.44169227,2.44169227,2.44169227,2.44169227,2.44169227
stat3,2.456566673,lgaussian_up,0.000677957,2.456566673,2.456566673,2.456566673,2.456566673,2.456566673,2.456566673,2.45656667,2.45656667,2.45656667,2.45656667,2.45656667,2.45656667
tradd,3.29392317,lgaussian_up,0.003934899,3.29392317,3.29392317,3.29392317,3.29392317,3.29392317,3.29392317,3.29392317,3.29392317,3.29392317,3.29392317,3.29392317,3.29392317
caspb,3.849344963,linear_down,0.04506239,3.849344963,3.849344963,3.849344963,3.849344963,3.849344963,3.849344963,3.84934496,3.84934496,3.84934496,3.84934496,3.84934496,3.84934496
fzd7a,3.85639375,linear_down,0.004963454,3.85639375,3.85639375,3.85639375,3.85639375,3.85639375,3.85639375,3.85639375,3.85639375,3.85639375,3.85639375,3.85639375,3.85639375
ralaa,4.209445803,linlog_up,0.012349834,4.209445803,4.209445803,4.209445803,4.209445803,4.209445803,4.209445803,4.2094458,4.2094458,4.2094458,4.2094458,4.2094458,4.2094458
otx2,4.526271659,linlog_down,0.006251301,4.526271659,4.526271659,4.526271659,4.526271659,4.526271659,4.526271659,4.52627166,4.52627166,4.52627166,4.52627166,4.52627166,4.52627166
per2,4.80660744,linear_up,0.015336701,4.80660744,4.80660744,4.80660744,4.80660744,4.80660744,4.80660744,4.80660744,4.80660744,4.80660744,4.80660744,4.80660744,4.80660744
exosc10,4.94172464,linlog_up,0.044627237,4.94172464,4.94172464,4.94172464,4.94172464,4.94172464,4.94172464,4.94172464,4.94172464,4.94172464,4.94172464,4.94172464,4.94172464
cisd1,5.05091989,linear_down,0.008094819,5.05091989,5.05091989,5.05091989,5.05091989,5.05091989,5.05091989,5.05091989,5.05091989,5.05091989,5.05091989,5.05091989,5.05091989
vegfaa,6.090941464,linear_down,0.036000951,6.090941464,6.090941464,6.090941464,6.090941464,6.090941464,6.090941464,6.09094146,6.09094146,6.09094146,6.09094146,6.09094146,6.09094146
tceb1a,6.430597891,linear_down,0.003492973,6.430597891,6.430597891,6.430597891,6.430597891,6.430597891,6.430597891,6.43059789,6.43059789,6.43059789,6.43059789,6.43059789,6.43059789
txnl4a,6.545352403,linear_up,0.028007289,6.545352403,6.545352403,6.545352403,6.545352403,6.545352403,6.545352403,6.5453524,6.5453524,6.5453524,6.5453524,6.5453524,6.5453524
hoxb2a,6.854513109,linlog_down,0.040500031,6.854513109,6.854513109,6.854513109,6.854513109,6.854513109,6.854513109,6.85451311,6.85451311,6.85451311,6.85451311,6.85451311,6.85451311
inhbb,7.024801451,linear_down,0.027187709,7.024801451,7.024801451,7.024801451,7.024801451,7.024801451,7.024801451,7.02480145,7.02480145,7.02480145,7.02480145,7.02480145,7.02480145
mmp11a,7.141199976,linear_down,0.034135301,7.141199976,7.141199976,7.141199976,7.141199976,7.141199976,7.141199976,7.14119998,7.14119998,7.14119998,7.14119998,7.14119998,7.14119998
acadl,7.29059514,linear_down,0.005815868,7.29059514,7.29059514,7.29059514,7.29059514,7.29059514,7.29059514,7.29059514,7.29059514,7.29059514,7.29059514,7.29059514,7.29059514
txn,7.414722453,linear_up,0.023704606,7.414722453,7.414722453,7.414722453,7.414722453,7.414722453,7.414722453,7.41472245,7.41472245,7.41472245,7.41472245,7.41472245,7.41472245
cox6c,7.766215305,linear_up,0.004472744,7.766215305,7.766215305,7.766215305,7.766215305,7.766215305,7.766215305,7.76621531,7.76621531,7.76621531,7.76621531,7.76621531,7.76621531
rps29,7.941154193,linear_down,0.013771773,7.941154193,7.941154193,7.941154193,7.941154193,7.941154193,7.941154193,7.94115419,7.94115419,7.94115419,7.94115419,7.94115419,7.94115419
sod2,7.970246009,linear_down,0.006990767,7.970246009,7.970246009,7.970246009,7.970246009,7.970246009,7.970246009,7.97024601,7.97024601,7.97024601,7.97024601,7.97024601,7.97024601
taf5,8.043672776,lgaussian_up,0.013241714,8.043672776,8.043672776,8.043672776,8.043672776,8.043672776,8.043672776,8.04367278,8.04367278,8.04367278,8.04367278,8.04367278,8.04367278
pomp,8.217944616,linear_down,0.014771138,8.217944616,8.217944616,8.217944616,8.217944616,8.217944616,8.217944616,8.21794462,8.21794462,8.21794462,8.21794462,8.21794462,8.21794462
rpl36,8.234079817,linear_down,0.044788288,8.234079817,8.234079817,8.234079817,8.234079817,8.234079817,8.234079817,8.23407982,8.23407982,8.23407982,8.23407982,8.23407982,8.23407982
ptger2a,8.352555675,linear_down,0.001943352,8.352555675,8.352555675,8.352555675,8.352555675,8.352555675,8.352555675,8.35255568,8.35255568,8.35255568,8.35255568,8.35255568,8.35255568
atic,8.467620483,linear_down,0.023226706,8.467620483,8.467620483,8.467620483,8.467620483,8.467620483,8.467620483,8.46762048,8.46762048,8.46762048,8.46762048,8.46762048,8.46762048
sf3b5,8.599577652,linear_up,0.027036926,8.599577652,8.599577652,8.599577652,8.599577652,8.599577652,8.599577652,8.59957765,8.59957765,8.59957765,8.59957765,8.59957765,8.59957765
gfap,8.687340715,linear_up,0.04485223,8.687340715,8.687340715,8.687340715,8.687340715,8.687340715,8.687340715,8.68734072,8.68734072,8.68734072,8.68734072,8.68734072,8.68734072
gria4b,8.728220849,linear_up,0.007469923,8.728220849,8.728220849,8.728220849,8.728220849,8.728220849,8.728220849,8.72822085,8.72822085,8.72822085,8.72822085,8.72822085,8.72822085
uba3,9.564285576,linear_up,0.016492789,9.564285576,9.564285576,9.564285576,9.564285576,9.564285576,9.564285576,9.56428558,9.56428558,9.56428558,9.56428558,9.56428558,9.56428558
