,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
abcf1,8.23E-05,MM.3_down,0.004375421,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05
acp1,0.697822704,linear_down,0.008733765,0.697822704,0.697822704,0.697822704,0.6978227,0.6978227,0.6978227,0.6978227,0.6978227,0.6978227,0.6978227,0.6978227,0.6978227
adssl,0.531471879,linlog_down,0.019452616,0.531471879,0.531471879,0.531471879,0.53147188,0.53147188,0.53147188,0.53147188,0.53147188,0.53147188,0.53147188,0.53147188,0.53147188
aldh7a1,0.402654745,linear_down,0.020898224,0.402654745,0.402654745,0.402654745,0.40265474,0.40265474,0.40265474,0.40265474,0.40265474,0.40265474,0.40265474,0.40265474,0.40265474
arpc4,1.398942438,linlog_down,0.006111556,1.398942438,1.398942438,1.398942438,1.39894244,1.39894244,1.39894244,1.39894244,1.39894244,1.39894244,1.39894244,1.39894244,1.39894244
atf1,0.004611678,lgaussian_up,0.00178937,0.004611678,0.004611678,0.004611678,0.00461168,0.00461168,0.00461168,0.00461168,0.00461168,0.00461168,0.00461168,0.00461168,0.00461168
atp1a1a.1,0.720508345,linear_up,0.032881501,0.720508345,0.720508345,0.720508345,0.72050835,0.72050835,0.72050835,0.72050835,0.72050835,0.72050835,0.72050835,0.72050835,0.72050835
atp2a1,0.378487998,linear_down,0.040136526,0.378487998,0.378487998,0.378487998,0.378488,0.378488,0.378488,0.378488,0.378488,0.378488,0.378488,0.378488,0.378488
atp5f1,1.185267248,linear_down,0.020722592,1.185267248,1.185267248,1.185267248,1.18526725,1.18526725,1.18526725,1.18526725,1.18526725,1.18526725,1.18526725,1.18526725,1.18526725
atp5ia,0.007033661,LL.3_down,5.82E-05,0.007033661,0.007033661,0.007033661,0.00703366,0.00703366,0.00703366,0.00703366,0.00703366,0.00703366,0.00703366,0.00703366,0.00703366
atp5j,0.729008269,linear_down,0.027745155,0.729008269,0.729008269,0.729008269,0.72900827,0.72900827,0.72900827,0.72900827,0.72900827,0.72900827,0.72900827,0.72900827,0.72900827
bcl7ba,0.586329325,linear_down,0.000524233,0.586329325,0.586329325,0.586329325,0.58632932,0.58632932,0.58632932,0.58632932,0.58632932,0.58632932,0.58632932,0.58632932,0.58632932
bdh2,0.054206659,gaussian_up,0.000968439,0.054206659,0.054206659,0.054206659,0.05420666,0.05420666,0.05420666,0.05420666,0.05420666,0.05420666,0.05420666,0.05420666,0.05420666
blmh,0.561991473,linear_down,0.013710229,0.561991473,0.561991473,0.561991473,0.56199147,0.56199147,0.56199147,0.56199147,0.56199147,0.56199147,0.56199147,0.56199147,0.56199147
caspb,0.311248746,linear_down,0.004164149,0.311248746,0.311248746,0.311248746,0.31124875,0.31124875,0.31124875,0.31124875,0.31124875,0.31124875,0.31124875,0.31124875,0.31124875
cebpz,0.007148249,lgaussian_up,0.024737773,0.007148249,0.007148249,0.007148249,0.00714825,0.00714825,0.00714825,0.00714825,0.00714825,0.00714825,0.00714825,0.00714825,0.00714825
cherp,9.84931E+14,lgaussian_up,0.016626015,9.84931E+14,9.84931E+14,9.84931E+14,9.8493E+14,9.8493E+14,9.8493E+14,9.8493E+14,9.8493E+14,9.8493E+14,9.8493E+14,9.8493E+14,9.8493E+14
cox7a3,0.92194732,linear_up,0.007782003,0.92194732,0.92194732,0.92194732,0.92194732,0.92194732,0.92194732,0.92194732,0.92194732,0.92194732,0.92194732,0.92194732,0.92194732
cox7c,0.843503815,linear_down,0.001825773,0.843503815,0.843503815,0.843503815,0.84350381,0.84350381,0.84350381,0.84350381,0.84350381,0.84350381,0.84350381,0.84350381,0.84350381
cs,7.836976812,linlog_down,0.009394365,7.836976812,7.836976812,7.836976812,7.83697681,7.83697681,7.83697681,7.83697681,7.83697681,7.83697681,7.83697681,7.83697681,7.83697681
