"gene.id","mod.name","b","c","d","e","f","SDres","AIC.model","lof.p","ctrl.mod","ctrl.mean","adv.incr","bmd","bmdl","bmdu","bmr","conv.pass","hd.pass","CI.pass","ld.pass","all.pass"
"tcf7l1a","Exp4",13941.3739578392,1.95763538343989,NA,1.10649722046631,NA,0.244474705951105,4.79,0.452565846338385,1.10649722046631,1,TRUE,1.00067673801856e-05,3.52149136329395e-06,1.83740004310727e-05,1.2444747059511,TRUE,TRUE,TRUE,TRUE,TRUE
"rxraa","Exp4",48389.0376648135,1.64811479264035,NA,1,NA,0.249475025035762,5.28,0.768127046423038,1,1,TRUE,1.01033038341151e-05,5.03386828648666e-06,1.86278458956829e-05,1.24947502503576,TRUE,TRUE,TRUE,TRUE,TRUE
"pcna","Exp4",42191.8435023378,0.757530547944725,NA,1.00217043018386,NA,0.0920409252991787,-18.65,0.227359620633032,1.00217043018386,1,FALSE,1.16265552906722e-05,3.4853039306636e-06,2.225921467428e-05,0.907959074700821,TRUE,TRUE,TRUE,TRUE,TRUE
"sirt3","Exp4",39665.1819959474,1.76731197411068,NA,1,NA,0.386558344711207,15.79,0.9548414155784,1,1,TRUE,1.78147747597404e-05,8.34777949057417e-06,4.13615366644068e-05,1.38655834471121,TRUE,TRUE,TRUE,TRUE,TRUE
"slc1a3a","Exp4",12833.4063888839,1.61097810367059,NA,1.02332765751545,NA,0.168543251931547,-4.13,0.939804019004367,1.02332765751545,1,TRUE,2.05949282113235e-05,9.60368607499407e-06,3.54084861537474e-05,1.16854325193155,TRUE,TRUE,TRUE,TRUE,TRUE
"psmb7","Exp4",23732.3570731568,0.704468637260373,NA,1.01675422798392,NA,0.11110438030547,-14.13,0.66200389408493,1.01675422798392,1,FALSE,2.33551889806764e-05,8.21822496107583e-06,4.28401970623761e-05,0.88889561969453,TRUE,TRUE,TRUE,TRUE,TRUE
"ndufs6","Exp4",9470.0628970964,0.718719262518939,NA,1,NA,0.089115789007463,-19.43,0.627732099557205,1,1,FALSE,3.34400238065169e-05,5.9338224484504e-06,6.56468753831206e-05,0.910884210992537,TRUE,TRUE,TRUE,TRUE,TRUE
"sox9b","Exp4",3896.12937690738,1.91584316106454,NA,1.25561249897444,NA,0.477493662302424,20.86,0.153252457514623,1.25561249897444,1,TRUE,5.50210310989169e-05,1.05024194467049e-05,0.000128463297022248,1.47749366230242,TRUE,TRUE,TRUE,TRUE,TRUE
"rqcd1","Exp4",9553.51077786906,1.62592552247342,NA,1.04338088870533,NA,0.317694142660165,11.08,0.965576953664785,1.04338088870533,1,TRUE,5.70241125114351e-05,2.34267334346891e-05,0.000126539553804646,1.31769414266017,TRUE,TRUE,TRUE,TRUE,TRUE
"RPL37A","Exp4",2165.4312173105,2.7765315370362,NA,2.05519144392532,NA,1.6752327724461,50.99,0.12120160833613,2.05519144392532,1,TRUE,8.59486274734e-05,1.98062144793566e-05,0.000210906374957796,2.6752327724461,TRUE,TRUE,TRUE,TRUE,TRUE
"ptges3b","Exp4",5024.44813538147,0.758262492272202,NA,1,NA,0.0959599365988008,-17.65,0.37624101436429,1,1,FALSE,8.72499698767064e-05,1.95885548439477e-05,0.000174797079427101,0.904040063401199,TRUE,TRUE,TRUE,TRUE,TRUE
"agrn","Exp4",3633.1604067443,1.75665295847522,NA,1.17179340237877,NA,0.428555171064679,18.27,0.47895294519849,1.17179340237877,1,TRUE,9.41035506702999e-05,2.65355939859274e-05,0.000220781133376192,1.42855517106468,TRUE,TRUE,TRUE,TRUE,TRUE
"rdh10a","Exp4",6174.469411018,1.7605952697773,NA,1,NA,0.364524378360622,14.38,0.647668841105319,1,1,TRUE,0.000111284313963204,5.2208569888355e-05,0.000253012129699368,1.36452437836062,TRUE,TRUE,TRUE,TRUE,TRUE
"acad8","Exp4",5224.34120366828,0.760645659888977,NA,1,NA,0.11754431686617,-12.78,0.437254977729565,1,1,FALSE,0.000115251285450577,2.70872196751459e-05,0.00024769528467457,0.88245568313383,TRUE,TRUE,TRUE,TRUE,TRUE
"fdxr","Exp4",3199.95034718711,1.7166182396106,NA,1.06360060731794,NA,0.361441084664562,14.18,0.285254500615109,1.06360060731794,1,TRUE,0.000154862905853963,6.27735276597134e-05,0.000340908473582098,1.36144108466456,TRUE,TRUE,TRUE,TRUE,TRUE
"cox17","Exp4",1975.33723293178,0.716686402961814,NA,1,NA,0.111128777744814,-14.13,0.58532925268682,1,1,FALSE,0.000216530260201408,4.53309197946814e-05,0.000431129387698785,0.888871222255186,TRUE,TRUE,TRUE,TRUE,TRUE
"abl1","Exp4",2727.23460201216,0.80909047514927,NA,1,NA,0.125329975341706,-11.24,0.126864069963767,1,1,FALSE,0.00029693205104621,5.56831773047333e-05,0.000874013469891138,0.874670024658294,TRUE,TRUE,TRUE,TRUE,TRUE
"tgfbr2","Exp4",873.385896100502,0.757030068878357,NA,1,NA,0.122545298656299,-11.78,0.56251561355668,1,1,FALSE,0.000563731349259091,7.36812197343953e-05,0.00125821836398302,0.877454701343702,TRUE,TRUE,TRUE,TRUE,TRUE
"plod3","Exp4",583.838238716949,0.71220288326504,NA,1,NA,0.109196993556594,-14.55,0.698233743014862,1,1,FALSE,0.000694770965113689,0.000148461856454639,0.0013656788564936,0.890803006443406,TRUE,TRUE,TRUE,TRUE,TRUE
"xbp1","Exp4",600.031680543048,1.29122641343897,NA,1.00555178467763,NA,0.161405539230832,-5.17,0.289853444563392,1.00555178467763,1,TRUE,0.00126615527884691,0.000463141524635986,0.00344042598007704,1.16140553923083,TRUE,TRUE,TRUE,TRUE,TRUE
"gria4b","Exp4",333.805496718939,1.65045677854891,NA,1,NA,0.250555955173598,5.38,0.75181642606148,1,1,TRUE,0.001555922936993,0.000743386301890512,0.00301358986184667,1.2505559551736,TRUE,TRUE,TRUE,TRUE,TRUE
"cry5","Exp4",487.865725700211,0.636289174035935,NA,1,NA,0.246432303905195,4.99,0.738283051848619,1,1,FALSE,0.00177613962550062,0.000243387820473455,0.00485873906542491,0.753567696094805,TRUE,TRUE,TRUE,TRUE,TRUE
"nsfl1c","Exp4",538.878066131278,0.779089519574633,NA,1.01199636193982,NA,0.135523075857525,-9.36,0.432636669249292,1.01199636193982,1,FALSE,0.00200120909890308,0.000643520871104112,0.00644571023372003,0.864476924142475,TRUE,TRUE,TRUE,TRUE,TRUE
"atp1b1b","Exp4",294.156675956326,1.28275404029725,NA,1.0755521363679,NA,0.221445163444176,2.42,0.778532994481099,1.0755521363679,1,TRUE,0.00222127133468331,0.000383286224928365,0.00954856355355759,1.22144516344418,TRUE,TRUE,TRUE,TRUE,TRUE
"cdk7","Exp4",350.840604294323,0.774410835070007,NA,1,NA,0.142384995124626,-8.18,0.842482698491534,1,1,FALSE,0.00282074377085425,0.000796567046337496,0.00852510044283815,0.857615004875374,TRUE,TRUE,TRUE,TRUE,TRUE
"grin1a","Exp4",145.792279589067,1.33948480785282,NA,1.05035424129449,NA,0.212099744566492,1.39,0.766963190935339,1.05035424129449,1,TRUE,0.00414569130491577,0.00113346481076679,0.0119676862613751,1.21209974456649,TRUE,TRUE,TRUE,TRUE,TRUE
"csf1ra","Exp4",175.096060366324,0.685479181796738,NA,1,NA,0.221544635925445,2.43,0.157739964899347,1,1,FALSE,0.00554304947643101,0.00100911595917856,0.0182581647936378,0.778455364074555,TRUE,TRUE,TRUE,TRUE,TRUE
"alg5","Exp4",129.33331874522,0.748765341375362,NA,1,NA,0.142882903771273,-8.1,0.402820973171394,1,1,FALSE,0.00566946572303092,0.00136970295438334,0.0130889056303854,0.857117096228727,TRUE,TRUE,TRUE,TRUE,TRUE
"fgf3","Exp4",109.427145551592,0.603307627708919,NA,1.0506273894397,NA,0.234259498827648,3.77,0.740363803532189,1.0506273894397,1,FALSE,0.0105146493672774,0.00391539563414799,0.0242022827632537,0.765740501172352,TRUE,TRUE,TRUE,TRUE,TRUE
"rxrgb","Poly2",1.09672165484981,1.13961802269683,-0.106812709653913,NA,NA,0.261530379024221,6.41,0.26683189877272,1.09672165484981,1,TRUE,0.146632747363864,0.0127423765983681,0.284074966709288,1.26153037902422,TRUE,TRUE,TRUE,TRUE,TRUE
"cyp26a1","Poly2",1.05711930848254,0.830465743277703,-0.0763733444088974,NA,NA,0.198610138359809,-0.19,0.44891017913814,1.05711930848254,1,TRUE,0.173131878225571,0.0330303380216601,0.317069798091221,1.19861013835981,TRUE,TRUE,TRUE,TRUE,TRUE
"ntrk1","Poly2",1.05292663261506,1.16698318391194,-0.116420378402477,NA,NA,0.260168908438227,6.29,0.866204006662436,1.05292663261506,1,TRUE,0.180850974288127,0.0497084667532441,0.315659035993035,1.26016890843823,TRUE,TRUE,TRUE,TRUE,TRUE
"gnl3","Poly2",0.967557400621016,1.12063638714131,-0.111159454223966,NA,NA,0.217838959612753,2.03,0.850230057121365,0.967557400621016,1,TRUE,0.228518722390022,0.112886142613964,0.347002936347039,1.21783895961275,TRUE,TRUE,TRUE,TRUE,TRUE
"cirh1a","Poly2",1.09109568873336,0.627699021633003,-0.0612523764087807,NA,NA,0.261594119166213,6.42,0.589199900339081,1.09109568873336,1,TRUE,0.279233105720103,0.0322163642110482,0.539556457569216,1.26159411916621,TRUE,TRUE,TRUE,TRUE,TRUE
"pafah1b3","Poly2",0.992818251523399,-0.36462132816004,0.0355077882314281,NA,NA,0.109946750671447,-14.38,0.881330825040634,0.992818251523399,1,FALSE,0.290032038361867,0.10971759371651,0.477331850585359,0.890053249328553,TRUE,TRUE,TRUE,TRUE,TRUE
