"gene.id","mod.name","b","c","d","e","f","SDres","AIC.model","lof.p","ctrl.mod","ctrl.mean","adv.incr","bmd","bmdl","bmdu","bmr","conv.pass","hd.pass","CI.pass","ld.pass","all.pass"
"fgfr1a","Exp4",12643443.3188115,1.64170318692744,NA,1,NA,0.195805425674058,0.54,0.580510447911234,1,1,TRUE,2.90969538005056e-08,1.2525287750633e-08,5.53174045736547e-08,1.19580542567406,TRUE,TRUE,TRUE,TRUE,TRUE
"CCKAR","Exp4",11652787.775236,2.2080288726176,NA,1.05670010703285,NA,0.489939582634599,17.05,0.180156031543471,1.05670010703285,1,TRUE,3.55787416916028e-08,1.5344573437864e-08,7.68485523383282e-08,1.4899395826346,TRUE,TRUE,TRUE,TRUE,TRUE
"psmc4","Exp4",29541571.755055,0.685633854808201,NA,1.03600740105449,NA,0.180876276490563,-0.89,0.730787941919662,1.03600740105449,1,FALSE,3.71139077982745e-08,1.00354796952378e-08,1.24987108806591e-07,0.819123723509437,TRUE,TRUE,TRUE,TRUE,TRUE
"cdk1","Exp4",8776176.35036409,0.699170047687095,NA,1.05382995687694,NA,0.102937816188383,-11.03,0.157203291879225,1.05382995687694,1,FALSE,7.77337058387838e-08,3.45612016729044e-08,1.3511353989876e-07,0.897062183811617,TRUE,TRUE,TRUE,TRUE,TRUE
"rpl19","Exp4",6102988.489924,0.662000056212086,NA,1,NA,0.136784937815528,-5.92,0.122591050584018,1,1,FALSE,8.2132360260681e-08,1.42545272943517e-08,1.69484785689455e-07,0.863215062184472,TRUE,TRUE,TRUE,TRUE,TRUE
"zw10","Exp4",3355151.86727953,1.78344798214426,NA,1,NA,0.195634390256412,0.52,0.0684420127015555,1,1,TRUE,8.67520851014822e-08,3.94804607336002e-08,1.55793700413224e-07,1.19563439025641,TRUE,TRUE,TRUE,TRUE,TRUE
"birc2","Exp4",4203213.42804923,0.60999515049667,NA,1.02412179462322,NA,0.129450083556446,-6.91,0.134531419365548,1.02412179462322,1,FALSE,1.15461974661392e-07,3.55660767605436e-08,2.09235250283486e-07,0.870549916443554,TRUE,TRUE,TRUE,TRUE,TRUE
"sart1","Exp4",4068226.43397642,0.635316022259819,NA,1.00664163776142,NA,0.157716355165194,-3.35,0.429010493904405,1.00664163776142,1,FALSE,1.45932534978069e-07,3.22237435761348e-08,2.96713343672905e-07,0.842283644834806,TRUE,TRUE,TRUE,TRUE,TRUE
"bmp1a","Exp4",2899984.99852902,1.62626575456589,NA,1,NA,0.218334639871653,2.5,0.231975889133121,1,1,TRUE,1.81737597121855e-07,8.174666012898e-08,3.6978941623845e-07,1.21833463987165,TRUE,TRUE,TRUE,TRUE,TRUE
"atp5j","Exp4",4206641.56549655,0.668184718046348,NA,1.02503914436627,NA,0.160277929057484,-3.06,0.779713684257636,1.02503914436627,1,FALSE,1.87116673129401e-07,5.36061292469883e-08,3.99137658581609e-07,0.839722070942516,TRUE,TRUE,TRUE,TRUE,TRUE
"cebpa","Exp4",4802049.83653298,0.619615171687668,NA,1.0218183842809,NA,0.213473723479881,2.1,0.196974789727567,1.0218183842809,1,FALSE,1.93619357685188e-07,4.6288005997263e-08,4.69746378767168e-07,0.78652627652012,TRUE,TRUE,TRUE,TRUE,TRUE
"nme2b.2","Exp4",3477228.2720681,0.692102410362236,NA,1.02231689291254,NA,0.138705313065602,-5.67,0.955156020776044,1.02231689291254,1,FALSE,2.06064209286137e-07,6.15547311118097e-08,4.23063853603088e-07,0.861294686934398,TRUE,TRUE,TRUE,TRUE,TRUE
