,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
hspa8,9.99E-05,gaussian_up,0.018166115,9.99E-05,9.99E-05,9.99E-05,9.99E-05,9.99E-05,9.99E-05,9.99E-05,9.99E-05,9.99E-05,9.99E-05,9.99E-05,9.99E-05
cwc15,0.000106006,gaussian_up,0.02366192,0.000106006,0.00010601,0.00010601,0.000106006,0.00010601,0.00010601,0.000106006,0.00010601,0.00010601,0.000106006,0.00010601,0.00010601
vapal,0.000114931,gaussian_up,0.045076971,0.000114931,0.00011493,0.00011493,0.000114931,0.00011493,0.00011493,0.000114931,0.00011493,0.00011493,0.000114931,0.00011493,0.00011493
pa2g4b,0.000116774,gaussian_up,0.00234871,0.000116774,0.00011677,0.00011677,0.000116774,0.00011677,0.00011677,0.000116774,0.00011677,0.00011677,0.000116774,0.00011677,0.00011677
mcm4,0.000126513,gaussian_up,0.00574591,0.000126513,0.00012651,0.00012651,0.000126513,0.00012651,0.00012651,0.000126513,0.00012651,0.00012651,0.000126513,0.00012651,0.00012651
cyp26c1,0.000131312,gaussian_up,0.003237701,0.000131312,0.00013131,0.00013131,0.000131312,0.00013131,0.00013131,0.000131312,0.00013131,0.00013131,0.000131312,0.00013131,0.00013131
ndufv1,0.00248757,lgaussian_up,0.020989145,0.00248757,0.00248757,0.00248757,0.00248757,0.00248757,0.00248757,0.00248757,0.00248757,0.00248757,0.00248757,0.00248757,0.00248757
mapk9,0.003384544,lgaussian_up,0.003069029,0.003384544,0.00338454,0.00338454,0.003384544,0.00338454,0.00338454,0.003384544,0.00338454,0.00338454,0.003384544,0.00338454,0.00338454
rxrab,0.004698373,lgaussian_up,0.00064065,0.004698373,0.00469837,0.00469837,0.004698373,0.00469837,0.00469837,0.004698373,0.00469837,0.00469837,0.004698373,0.00469837,0.00469837
roraa,0.00640118,gaussian_up,0.044547724,0.00640118,0.00640118,0.00640118,0.00640118,0.00640118,0.00640118,0.00640118,0.00640118,0.00640118,0.00640118,0.00640118,0.00640118
smad7,0.006691029,gaussian_up,0.001224548,0.006691029,0.00669103,0.00669103,0.006691029,0.00669103,0.00669103,0.006691029,0.00669103,0.00669103,0.006691029,0.00669103,0.00669103
mmp14a,0.011207695,gaussian_up,0.039883941,0.011207695,0.0112077,0.0112077,0.011207695,0.0112077,0.0112077,0.011207695,0.0112077,0.0112077,0.011207695,0.0112077,0.0112077
ube2na,0.013202867,lgaussian_up,0.004969567,0.013202867,0.01320287,0.01320287,0.013202867,0.01320287,0.01320287,0.013202867,0.01320287,0.01320287,0.013202867,0.01320287,0.01320287
smarcb1a,0.026502999,linlog_up,0.001798943,0.026502999,0.026503,0.026503,0.026502999,0.026503,0.026503,0.026502999,0.026503,0.026503,0.026502999,0.026503,0.026503
