,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
acadm,1.441314179,linear_up,0.020325627,1.441314179,1.441314179,1.441314179,1.441314179,1.441314179,1.441314179,1.441314179,1.441314179,1.441314179,1.441314179,1.441314179,1.441314179
acat1,1.541921946,linlog_up,0.037646904,1.541921946,1.541921946,1.541921946,1.541921946,1.541921946,1.541921946,1.541921946,1.541921946,1.541921946,1.541921946,1.541921946,1.541921946
acp1,0.736513417,linlog_down,0.007413756,0.736513417,0.736513417,0.736513417,0.736513417,0.736513417,0.736513417,0.736513417,0.736513417,0.736513417,0.736513417,0.736513417,0.736513417
adh5,1.976110145,linear_down,0.005733556,1.976110145,1.976110145,1.976110145,1.976110145,1.976110145,1.976110145,1.976110145,1.976110145,1.976110145,1.976110145,1.976110145,1.976110145
akr1a1b,2.044321579,linear_up,0.025378976,2.044321579,2.044321579,2.044321579,2.044321579,2.044321579,2.044321579,2.044321579,2.044321579,2.044321579,2.044321579,2.044321579,2.044321579
aldh9a1a.1,1.676841006,linear_up,0.012225367,1.676841006,1.676841006,1.676841006,1.676841006,1.676841006,1.676841006,1.676841006,1.676841006,1.676841006,1.676841006,1.676841006,1.676841006
alg5,0.030218647,LL.3_down,0.00044611,0.030218647,0.030218647,0.030218647,0.030218647,0.030218647,0.030218647,0.030218647,0.030218647,0.030218647,0.030218647,0.030218647,0.030218647
apaf1,0.812354341,linlog_up,0.039155246,0.812354341,0.812354341,0.812354341,0.812354341,0.812354341,0.812354341,0.812354341,0.812354341,0.812354341,0.812354341,0.812354341,0.812354341
ar,1.981131378,linear_down,0.00355469,1.981131378,1.981131378,1.981131378,1.981131378,1.981131378,1.981131378,1.981131378,1.981131378,1.981131378,1.981131378,1.981131378,1.981131378
atf1,1.641447927,linear_down,0.015089212,1.641447927,1.641447927,1.641447927,1.641447927,1.641447927,1.641447927,1.641447927,1.641447927,1.641447927,1.641447927,1.641447927,1.641447927
atf6,0.830187015,linlog_up,0.012044737,0.830187015,0.830187015,0.830187015,0.830187015,0.830187015,0.830187015,0.830187015,0.830187015,0.830187015,0.830187015,0.830187015,0.830187015
atp1b3b,0.001307337,lgaussian_up,0.000572831,0.001307337,0.001307337,0.001307337,0.001307337,0.001307337,0.001307337,0.001307337,0.001307337,0.001307337,0.001307337,0.001307337,0.001307337
atp5f1,1.979115547,linear_down,0.048915355,1.979115547,1.979115547,1.979115547,1.979115547,1.979115547,1.979115547,1.979115547,1.979115547,1.979115547,1.979115547,1.979115547,1.979115547
atp6v1h,7.585388634,linlog_down,0.018681139,7.585388634,7.585388634,7.585388634,7.585388634,7.585388634,7.585388634,7.585388634,7.585388634,7.585388634,7.585388634,7.585388634,7.585388634
bcas2,0.426101315,linlog_down,0.014070252,0.426101315,0.426101315,0.426101315,0.426101315,0.426101315,0.426101315,0.426101315,0.426101315,0.426101315,0.426101315,0.426101315,0.426101315
bmp1a,2.09042819,linlog_up,0.020608762,2.09042819,2.09042819,2.09042819,2.09042819,2.09042819,2.09042819,2.09042819,2.09042819,2.09042819,2.09042819,2.09042819,2.09042819
bmp2a,0.001714097,lgaussian_up,1.40E-05,0.001714097,0.001714097,0.001714097,0.001714097,0.001714097,0.001714097,0.001714097,0.001714097,0.001714097,0.001714097,0.001714097,0.001714097
btg3,0.001509666,gaussian_up,0.039060082,0.001509666,0.001509666,0.001509666,0.001509666,0.001509666,0.001509666,0.001509666,0.001509666,0.001509666,0.001509666,0.001509666,0.001509666
bub3,1.053938988,linlog_up,0.034474924,1.053938988,1.053938988,1.053938988,1.053938988,1.053938988,1.053938988,1.053938988,1.053938988,1.053938988,1.053938988,1.053938988,1.053938988
calcrla,0.005349727,lgaussian_up,0.003198618,0.005349727,0.005349727,0.005349727,0.005349727,0.005349727,0.005349727,0.005349727,0.005349727,0.005349727,0.005349727,0.005349727,0.005349727
ccnd1,2.504518021,linear_down,0.010616789,2.504518021,2.504518021,2.504518021,2.504518021,2.504518021,2.504518021,2.504518021,2.504518021,2.504518021,2.504518021,2.504518021,2.504518021
ccng1,0.002393602,lgaussian_up,0.006679107,0.002393602,0.002393602,0.002393602,0.002393602,0.002393602,0.002393602,0.002393602,0.002393602,0.002393602,0.002393602,0.002393602,0.002393602
cdc23,0.379159016,linlog_down,0.033231867,0.379159016,0.379159016,0.379159016,0.379159016,0.379159016,0.379159016,0.379159016,0.379159016,0.379159016,0.379159016,0.379159016,0.379159016
cdc42,1.756619754,linear_down,0.002244424,1.756619754,1.756619754,1.756619754,1.756619754,1.756619754,1.756619754,1.756619754,1.756619754,1.756619754,1.756619754,1.756619754,1.756619754
