"gene.id","mod.name","b","c","d","e","f","SDres","AIC.model","lof.p","ctrl.mod","ctrl.mean","adv.incr","bmd","bmdl","bmdu","bmr","conv.pass","hd.pass","CI.pass","ld.pass","all.pass"
"tubb2","Exp4",56501.2921924512,0.709882957607257,NA,1.00036798150862,NA,0.125208235234162,-7.51,0.891588747441509,1.00036798150862,1,FALSE,1.00324257284655e-05,1.54213566614996e-06,2.23035003362584e-05,0.874791764765838,TRUE,TRUE,TRUE,TRUE,TRUE
"rpa1","Exp4",70225.7839282462,0.751166581921456,NA,1.0006963099617,NA,0.130383389247622,-6.78,0.626919774620884,1.0006963099617,1,FALSE,1.06430151303634e-05,1.77543360575871e-06,2.78184392512447e-05,0.869616610752378,TRUE,TRUE,TRUE,TRUE,TRUE
"th","Exp4",33871.8292298915,0.55569410330146,NA,1.01936569672965,NA,0.147179880149991,-4.6,0.913896218510077,1.01936569672965,1,FALSE,1.35341960396453e-05,2.34625525870359e-06,2.63406355986939e-05,0.852820119850009,TRUE,TRUE,TRUE,TRUE,TRUE
"C24H11orf65","Exp4",24606.8404296083,2.4485920784914,NA,1,NA,0.57383463135192,19.89,0.586425758839037,1,1,TRUE,2.11291246953183e-05,1.08902882980745e-05,4.30982635502053e-05,1.57383463135192,TRUE,TRUE,TRUE,TRUE,TRUE
"arntl1b","Exp4",28820.4645255431,1.6047332288267,NA,1,NA,0.31500371150949,9.1,0.993947119393013,1,1,TRUE,2.58966333432594e-05,1.00445521640544e-05,7.93319769576308e-05,1.31500371150949,TRUE,TRUE,TRUE,TRUE,TRUE
"cacna1bb","Exp4",31078.4442848829,0.7399688404619,NA,1.02753409632364,NA,0.142725288183123,-5.15,0.132831572130268,1.02753409632364,1,FALSE,3.26257898069312e-05,8.58511915274926e-06,0.000103213094075477,0.857274711816877,TRUE,TRUE,TRUE,TRUE,TRUE
"pold2","Exp4",19358.0323679324,0.588933616840849,NA,1.06588287218756,NA,0.217703273311191,2.45,0.676918436328414,1.06588287218756,1,FALSE,5.38257080310799e-05,1.48452883867775e-05,0.000132023984586205,0.782296726688809,TRUE,TRUE,TRUE,TRUE,TRUE
"hpse","Exp3",-0.00118174455870191,NA,0.161286078595035,1.020940384699,NA,0.108361862805844,-10.11,0.551172363532182,1.020940384699,1,FALSE,0.00349743086893164,0.00184696312822067,0.059199105678307,0.891638137194156,TRUE,TRUE,TRUE,TRUE,TRUE
"slc32a1","Exp4",9.63474034242344,0.635970674327697,NA,1.00346390240816,NA,0.108786943401859,-10.04,0.62370732193609,1.00346390240816,1,FALSE,0.0381065777728066,0.0104004609729402,0.0694593894219775,0.891213056598141,TRUE,TRUE,TRUE,TRUE,TRUE
"rpl39","Exp4",12.1148900069962,1.45976732717182,NA,1.00544048593047,NA,0.207902799579821,1.62,0.775635388245299,1.00544048593047,1,TRUE,0.0475621030040368,0.0144957449150444,0.128647437407976,1.20790279957982,TRUE,TRUE,TRUE,TRUE,TRUE
