,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50,ED50,ED50,ED50
slc32a1,0.874440427,gaussian_up,0.045076964,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427,0.874440427
slka,15.91864435,linear_down,0.002675695,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435,15.91864435
smad1,0.010180422,MM.3_up,0.000526333,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422,0.010180422
smc4,15.9935554,linlog_down,0.018835147,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554,15.9935554
smo,7.963413674,linear_down,0.006632286,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674,7.963413674
snrpb,6.110320974,linlog_up,0.014690645,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974,6.110320974
snrpd1,11.91021641,linear_up,0.040584206,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641,11.91021641
snrpd3l,0.70190453,gaussian_up,0.003234809,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453,0.70190453
sox1b,0.466822183,linlog_down,0.022546575,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183,0.466822183
spcs1,0.272129025,linlog_down,0.016784353,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025,0.272129025
srsf3b,193.8863634,linlog_up,0.023775631,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634,193.8863634
stt3a,0.781089023,gaussian_up,0.001115679,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023,0.781089023
taf5,-0.571272138,linear_down,0.005698926,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138,-0.571272138
taf7,0.099358804,lgaussian_up,0.042908677,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804,0.099358804
tbx5a,1.356825507,gaussian_up,0.002700464,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507,1.356825507
tra2b,6.638015425,linear_down,0.039890817,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425,6.638015425
trap1,2.678654844,linear_down,3.77E-05,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844,2.678654844
tspo,7.81781989,linear_up,0.002293795,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989,7.81781989
txn,11.67795279,linear_up,0.034030908,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279,11.67795279
uba52,21.7405363,linear_up,0.002766765,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363,21.7405363
ube2ib,24.9097859,linear_down,0.034009068,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859,24.9097859
ube2na,12.42001777,linear_down,0.041002781,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777,12.42001777
ube4b,12.10817653,linear_up,0.017684108,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653,12.10817653
ubr7,0.000737248,gaussian_up,0.018887746,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248,0.000737248
usf1l,6.651571373,linear_down,0.00738225,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373,6.651571373
usp14,7.872246829,linear_down,0.026027679,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829,7.872246829
vcam1,3.553299199,linlog_down,0.009222082,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199,3.553299199
xab2,0.006503469,lgaussian_up,0.036542967,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469,0.006503469
xbp1,1.157539431,LL.3_up,0.000395124,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431,1.157539431
ywhah,14.33031354,linear_down,0.017176255,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354,14.33031354
ywhaqb,4.675593656,linlog_down,0.03811593,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656,4.675593656
zeb1a,6.398212546,linear_up,0.004052038,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546,6.398212546
znf711,0.014554529,lgaussian_up,0.000351441,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529,0.014554529
znrd1,13.56007498,linlog_up,0.019077273,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498,13.56007498
