"gene.id","mod.name","b","c","d","e","f","SDres","AIC.model","lof.p","ctrl.mod","ctrl.mean","adv.incr","bmd","bmdl","bmdu","bmr","conv.pass","hd.pass","CI.pass","ld.pass","all.pass"
"cops5","Exp4",16549.7384154997,0.508202326318599,NA,1.00694220261547,NA,0.143180888148204,-6.06,0.336709370794808,1.00694220261547,1,FALSE,2.18246333690376e-05,3.75550839012027e-06,4.10200901984035e-05,0.856819111851796,TRUE,TRUE,TRUE,TRUE,TRUE
"rbx1","Exp4",31284.2992115699,0.694189950624842,NA,1.00006644658778,NA,0.152752086509998,-4.77,0.996784677973322,1.00006644658778,1,FALSE,2.21361941232307e-05,4.37620080493358e-06,5.0343237239378e-05,0.847247913490002,TRUE,TRUE,TRUE,TRUE,TRUE
"polr1e","Exp4",8950.52002836891,1.53068281054878,NA,1,NA,0.0976730706825982,-13.71,0.267753190444248,1,1,TRUE,2.40958053838662e-05,1.20861901968266e-05,3.89462022835952e-05,1.0976730706826,TRUE,TRUE,TRUE,TRUE,TRUE
"clns1a","Exp4",31458.3021879561,0.630945488334394,NA,1,NA,0.208092493297683,1.42,0.747205748722157,1,1,FALSE,2.63656509442972e-05,4.39006328508201e-06,6.56248200211696e-05,0.791907506702317,TRUE,TRUE,TRUE,TRUE,TRUE
"nme2b.2","Exp4",31235.6646511659,0.610798359906619,NA,1,NA,0.236791647779152,4,0.361225416668554,1,1,FALSE,3.0001361794715e-05,4.66904734055337e-06,8.40613851010176e-05,0.763208352220848,TRUE,TRUE,TRUE,TRUE,TRUE
"nfkb2","Exp4",4377.3822017887,1.86394175136524,NA,1.01507216591813,NA,0.141447263586801,-6.3,0.943374717609498,1.01507216591813,1,TRUE,3.55481843180853e-05,1.75415776470457e-05,5.75818549884635e-05,1.1414472635868,TRUE,TRUE,TRUE,TRUE,TRUE
"atf5b","Exp4",12826.9330902752,0.657335149900733,NA,1.0187192263785,NA,0.117960815130775,-9.94,0.654302790411222,1.0187192263785,1,FALSE,3.87334498958791e-05,1.16985014567533e-05,7.17915143998176e-05,0.882039184869225,TRUE,TRUE,TRUE,TRUE,TRUE
"lsm1","Exp4",7591.30437299334,0.561059790015727,NA,1,NA,0.125882277470895,-8.64,0.254410951413902,1,1,FALSE,4.13126376666925e-05,4.75834481715185e-06,8.08820517075255e-05,0.874117722529105,TRUE,TRUE,TRUE,TRUE,TRUE
"pgam1a","Exp4",12092.0799504193,1.40230176846466,NA,1,NA,0.153447763491415,-4.68,0.829975964617222,1,1,TRUE,4.13334528249005e-05,1.7167700485466e-05,8.30859215903182e-05,1.15344776349142,TRUE,TRUE,TRUE,TRUE,TRUE
"arntl2","Exp4",6920.57410371526,0.664633450984613,NA,1,NA,0.121460054783079,-9.35,0.762343915640223,1,1,FALSE,5.64496522098085e-05,6.82596422172576e-06,0.000116302566197525,0.878539945216921,TRUE,TRUE,TRUE,TRUE,TRUE
"src","Exp4",5136.74023825873,1.75884427937654,NA,1.02543916711403,NA,0.230300363888851,3.44,0.810485470591481,1.02543916711403,1,TRUE,5.94794179115458e-05,2.59983918879602e-05,0.000109769146548636,1.23030036388885,TRUE,TRUE,TRUE,TRUE,TRUE
"pax6b","Exp4",7304.45872010697,1.77010721998746,NA,1,NA,0.278504097618001,7.25,0.728962732333594,1,1,TRUE,6.40258291086302e-05,3.00499696337164e-05,0.00012455695044071,1.278504097618,TRUE,TRUE,TRUE,TRUE,TRUE
"arpc5a","Exp4",9765.17713319291,0.688752611746824,NA,1.00848657771256,NA,0.16073769513231,-3.75,0.838202821677303,1.00848657771256,1,FALSE,7.9324856620769e-05,1.88363640852986e-05,0.000181328228646575,0.83926230486769,TRUE,TRUE,TRUE,TRUE,TRUE
"aldh18a1","Exp4",7861.44140880923,0.682705392149831,NA,1.01531471603578,NA,0.182611489443369,-1.2,0.36831089724338,1.01531471603578,1,FALSE,0.000121213563865329,3.00004101597243e-05,0.000323653417178871,0.817388510556631,TRUE,TRUE,TRUE,TRUE,TRUE
