"gene.id","mod.name","b","c","d","e","f","SDres","AIC.model","lof.p","ctrl.mod","ctrl.mean","adv.incr","bmd","bmdl","bmdu","bmr","conv.pass","hd.pass","CI.pass","ld.pass","all.pass"
"atp6v1d","Exp4",70551.5942730044,0.758800563148478,NA,1.0003681689684,NA,0.131616384619894,-6.61,0.944699085187957,1.0003681689684,1,FALSE,1.12238727201246e-05,1.87022795712988e-06,3.12855862863329e-05,0.868383615380106,TRUE,TRUE,TRUE,TRUE,TRUE
"ncor1","Exp4",42356.4168468463,1.81593588123929,NA,1,NA,0.312703512228917,8.97,0.993761663200493,1,1,TRUE,1.14709267546389e-05,5.29091512912063e-06,2.30925270675079e-05,1.31270351222892,TRUE,TRUE,TRUE,TRUE,TRUE
"smad2","Exp4",41503.658978972,0.727141892329002,NA,1.00332212842357,NA,0.102256075617812,-11.15,0.7178126567204,1.00332212842357,1,FALSE,1.17386229223163e-05,2.23603422327899e-06,2.44302067747554e-05,0.897743924382188,TRUE,TRUE,TRUE,TRUE,TRUE
"whsc1","Exp4",47287.1125920795,0.648732384226444,NA,1.00603378589692,NA,0.14604396133676,-4.74,0.942506830175289,1.00603378589692,1,FALSE,1.19000982724181e-05,1.80049352781461e-06,2.55338995918271e-05,0.85395603866324,TRUE,TRUE,TRUE,TRUE,TRUE
"pak2a","Exp4",49290.9024837802,0.714795398233471,NA,1.00098148885714,NA,0.125745617604593,-7.43,0.960528885364877,1.00098148885714,1,FALSE,1.19050457656267e-05,1.91273228221813e-06,2.66822912254113e-05,0.874254382395407,TRUE,TRUE,TRUE,TRUE,TRUE
"polr2f","Exp4",28285.0152133323,1.3696631795012,NA,1,NA,0.101401209043788,-11.3,0.44277190041605,1,1,TRUE,1.19076784973619e-05,5.09083979682217e-06,2.14627008882619e-05,1.10140120904379,TRUE,TRUE,TRUE,TRUE,TRUE
"atp5h","Exp4",44859.4934775255,2.2442824395618,NA,1,NA,0.519768496779115,18.11,0.961022565532393,1,1,TRUE,1.2071448893494e-05,5.95788125002857e-06,2.55229903388177e-05,1.51976849677911,TRUE,TRUE,TRUE,TRUE,TRUE
"fh","Exp4",30115.9376033207,0.738682083524701,NA,1.00767151467698,NA,0.0737182989305147,-17.04,0.740179682019027,1.00767151467698,1,FALSE,1.22773047076954e-05,3.10044776428105e-06,2.33261846310064e-05,0.926281701069485,TRUE,TRUE,TRUE,TRUE,TRUE
"arnt","Exp4",44720.104014464,0.752910685974492,NA,1.00556476770045,NA,0.099424134615075,-11.66,0.887183379087604,1.00556476770045,1,FALSE,1.22793893171628e-05,2.64274293450021e-06,2.60606080038106e-05,0.900575865384925,TRUE,TRUE,TRUE,TRUE,TRUE
"pak2b","Exp4",32943.1102221177,0.678831666332447,NA,1.0146390823747,NA,0.0939179882655653,-12.68,0.441752042474642,1.0146390823747,1,FALSE,1.22987850162323e-05,3.12320619780378e-06,2.32092719416028e-05,0.906082011734435,TRUE,TRUE,TRUE,TRUE,TRUE
"srsf5a","Exp4",38933.3522908724,1.50578255839996,NA,1,NA,0.190335810737279,0.03,0.259131869346119,1,1,TRUE,1.23197915850721e-05,5.14042853005587e-06,2.49581481072435e-05,1.19033581073728,TRUE,TRUE,TRUE,TRUE,TRUE
"srsf5b","Exp4",53579.5776367277,0.761868855050249,NA,1.00208081657172,NA,0.113407061296839,-9.29,0.989942655623784,1.00208081657172,1,FALSE,1.2347768846998e-05,2.31125252492934e-06,2.92229740440755e-05,0.886592938703161,TRUE,TRUE,TRUE,TRUE,TRUE
"rnaseh1","Exp4",31111.0427415229,2.00354471746432,NA,1,NA,0.319236128392177,9.34,0.856375615140604,1,1,TRUE,1.25761780435974e-05,6.39250687240719e-06,2.27525189086193e-05,1.31923612839218,TRUE,TRUE,TRUE,TRUE,TRUE
"tpi1b","Exp4",40371.4293297227,1.77097725053457,NA,1,NA,0.318016114633888,9.27,0.954440959473041,1,1,TRUE,1.32646264178663e-05,5.90700339380503e-06,2.827639673975e-05,1.31801611463389,TRUE,TRUE,TRUE,TRUE,TRUE
"ndufa8","Exp4",41188.1541459585,0.718057739580802,NA,1.00322249604707,NA,0.117150651444518,-8.71,0.925475334566233,1.00322249604707,1,FALSE,1.34596716636014e-05,2.41819151759357e-06,2.91211067090857e-05,0.882849348555482,TRUE,TRUE,TRUE,TRUE,TRUE
"raf1b","Exp4",45159.4785438783,0.718024266977132,NA,1.00440565416853,NA,0.125387018220992,-7.48,0.753403855528147,1.00440565416853,1,FALSE,1.35741796712479e-05,2.46538870148545e-06,3.032456011694e-05,0.874612981779008,TRUE,TRUE,TRUE,TRUE,TRUE
"bcas2","Exp4",52779.6185062995,0.764000928225557,NA,1.00096454588244,NA,0.120355663920152,-8.22,0.882487454315423,1.00096454588244,1,FALSE,1.3654385387495e-05,2.43468237831553e-06,3.45163102675122e-05,0.879644336079848,TRUE,TRUE,TRUE,TRUE,TRUE
