,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
abcb7,14.8247691,linear_up,0.008250295,14.8247691,14.8247691,14.8247691,14.8247691,14.8247691,14.8247691,14.8247691,14.8247691,14.8247691,14.8247691,14.8247691,14.8247691
aco2,10.74859098,linlog_down,0.005100204,10.74859098,10.74859098,10.74859098,10.74859098,10.74859098,10.74859098,10.74859098,10.74859098,10.74859098,10.74859098,10.74859098,10.74859098
acp1,4.554709079,linear_down,0.000801972,4.554709079,4.554709079,4.554709079,4.554709079,4.554709079,4.554709079,4.554709079,4.554709079,4.554709079,4.554709079,4.554709079,4.554709079
actb1,9.498949049,linlog_up,0.013369205,9.498949049,9.498949049,9.498949049,9.498949049,9.498949049,9.498949049,9.498949049,9.498949049,9.498949049,9.498949049,9.498949049,9.498949049
actn1,12.27010656,linear_up,0.000360149,12.27010656,12.27010656,12.27010656,12.27010656,12.27010656,12.27010656,12.27010656,12.27010656,12.27010656,12.27010656,12.27010656,12.27010656
adcyap1b,5.547829133,linlog_down,0.024774004,5.547829133,5.547829133,5.547829133,5.547829133,5.547829133,5.547829133,5.547829133,5.547829133,5.547829133,5.547829133,5.547829133,5.547829133
adh5,6.974369956,linlog_down,0.002509367,6.974369956,6.974369956,6.974369956,6.974369956,6.974369956,6.974369956,6.974369956,6.974369956,6.974369956,6.974369956,6.974369956,6.974369956
adka,7.697453725,linear_down,0.005702992,7.697453725,7.697453725,7.697453725,7.697453725,7.697453725,7.697453725,7.697453725,7.697453725,7.697453725,7.697453725,7.697453725,7.697453725
adora2aa,7.186612064,linear_down,0.044040072,7.186612064,7.186612064,7.186612064,7.186612064,7.186612064,7.186612064,7.186612064,7.186612064,7.186612064,7.186612064,7.186612064,7.186612064
adrb3a,0.546546647,lgaussian_up,0.042990656,0.546546647,0.546546647,0.546546647,0.546546647,0.546546647,0.546546647,0.546546647,0.546546647,0.546546647,0.546546647,0.546546647,0.546546647
adssl,4.933819176,linear_down,0.000945387,4.933819176,4.933819176,4.933819176,4.933819176,4.933819176,4.933819176,4.933819176,4.933819176,4.933819176,4.933819176,4.933819176,4.933819176
agrn,0.326582858,linlog_down,0.000685233,0.326582858,0.326582858,0.326582858,0.326582858,0.326582858,0.326582858,0.326582858,0.326582858,0.326582858,0.326582858,0.326582858,0.326582858
ahcy,7.03387044,linear_up,0.012804841,7.03387044,7.03387044,7.03387044,7.03387044,7.03387044,7.03387044,7.03387044,7.03387044,7.03387044,7.03387044,7.03387044,7.03387044
ahr1b,0.001052627,gaussian_up,0.007803406,0.001052627,0.001052627,0.001052627,0.001052627,0.001052627,0.001052627,0.001052627,0.001052627,0.001052627,0.001052627,0.001052627,0.001052627
ahr2,7.161391997,linear_down,0.014438331,7.161391997,7.161391997,7.161391997,7.161391997,7.161391997,7.161391997,7.161391997,7.161391997,7.161391997,7.161391997,7.161391997,7.161391997
ak2,11.91228237,linear_up,0.005786479,11.91228237,11.91228237,11.91228237,11.91228237,11.91228237,11.91228237,11.91228237,11.91228237,11.91228237,11.91228237,11.91228237,11.91228237
alas1,3.956615381,MM.3_down,9.18E-06,3.956615381,3.956615381,3.956615381,3.956615381,3.956615381,3.956615381,3.956615381,3.956615381,3.956615381,3.956615381,3.956615381,3.956615381
aldh18a1,8.717071112,linear_down,0.006561685,8.717071112,8.717071112,8.717071112,8.717071112,8.717071112,8.717071112,8.717071112,8.717071112,8.717071112,8.717071112,8.717071112,8.717071112
aldh6a1,14.82796597,linear_up,0.02828987,14.82796597,14.82796597,14.82796597,14.82796597,14.82796597,14.82796597,14.82796597,14.82796597,14.82796597,14.82796597,14.82796597,14.82796597
aldh9a1a.1,19.98799334,linear_up,0.02131367,19.98799334,19.98799334,19.98799334,19.98799334,19.98799334,19.98799334,19.98799334,19.98799334,19.98799334,19.98799334,19.98799334,19.98799334
aldoaa,5.882892052,linlog_up,0.005185547,5.882892052,5.882892052,5.882892052,5.882892052,5.882892052,5.882892052,5.882892052,5.882892052,5.882892052,5.882892052,5.882892052,5.882892052
alg5,2.504484948,linear_down,0.000294182,2.504484948,2.504484948,2.504484948,2.504484948,2.504484948,2.504484948,2.504484948,2.504484948,2.504484948,2.504484948,2.504484948,2.504484948
alyref,2.284302719,linlog_down,0.009647994,2.284302719,2.284302719,2.284302719,2.284302719,2.284302719,2.284302719,2.284302719,2.284302719,2.284302719,2.284302719,2.284302719,2.284302719
anapc11,3.186909622,linlog_up,0.02222133,3.186909622,3.186909622,3.186909622,3.186909622,3.186909622,3.186909622,3.186909622,3.186909622,3.186909622,3.186909622,3.186909622,3.186909622
anxa1a,0.227768635,linlog_down,0.031808394,0.227768635,0.227768635,0.227768635,0.227768635,0.227768635,0.227768635,0.227768635,0.227768635,0.227768635,0.227768635,0.227768635,0.227768635
apex1,7.972635987,linear_down,0.026897715,7.972635987,7.972635987,7.972635987,7.972635987,7.972635987,7.972635987,7.972635987,7.972635987,7.972635987,7.972635987,7.972635987,7.972635987
aph1b,13.12358923,linear_down,0.019480094,13.12358923,13.12358923,13.12358923,13.12358923,13.12358923,13.12358923,13.12358923,13.12358923,13.12358923,13.12358923,13.12358923,13.12358923
apoeb,7.024648377,linear_down,0.017713079,7.024648377,7.024648377,7.024648377,7.024648377,7.024648377,7.024648377,7.024648377,7.024648377,7.024648377,7.024648377,7.024648377,7.024648377
araf,3.787985608,linear_down,0.000126921,3.787985608,3.787985608,3.787985608,3.787985608,3.787985608,3.787985608,3.787985608,3.787985608,3.787985608,3.787985608,3.787985608,3.787985608
arntl1a,0.305239945,linlog_down,0.002352453,0.305239945,0.305239945,0.305239945,0.305239945,0.305239945,0.305239945,0.305239945,0.305239945,0.305239945,0.305239945,0.305239945,0.305239945
arntl1b,0.28154157,linlog_down,0.04452,0.28154157,0.28154157,0.28154157,0.28154157,0.28154157,0.28154157,0.28154157,0.28154157,0.28154157,0.28154157,0.28154157,0.28154157
arntl2,4.7639373,linear_up,0.020410979,4.7639373,4.7639373,4.7639373,4.7639373,4.7639373,4.7639373,4.7639373,4.7639373,4.7639373,4.7639373,4.7639373,4.7639373
arpc1a,1.268547057,linlog_down,0.008265881,1.268547057,1.268547057,1.268547057,1.268547057,1.268547057,1.268547057,1.268547057,1.268547057,1.268547057,1.268547057,1.268547057,1.268547057
arpc5a,17.95572486,linear_down,0.021440529,17.95572486,17.95572486,17.95572486,17.95572486,17.95572486,17.95572486,17.95572486,17.95572486,17.95572486,17.95572486,17.95572486,17.95572486
asmtl,4.523718773,linear_down,0.026710259,4.523718773,4.523718773,4.523718773,4.523718773,4.523718773,4.523718773,4.523718773,4.523718773,4.523718773,4.523718773,4.523718773,4.523718773
atf1,8.602225089,linear_down,0.009350397,8.602225089,8.602225089,8.602225089,8.602225089,8.602225089,8.602225089,8.602225089,8.602225089,8.602225089,8.602225089,8.602225089,8.602225089
atf6,8.233934814,linear_up,0.002501161,8.233934814,8.233934814,8.233934814,8.233934814,8.233934814,8.233934814,8.233934814,8.233934814,8.233934814,8.233934814,8.233934814,8.233934814
atic,4.787704845,linear_down,5.30E-05,4.787704845,4.787704845,4.787704845,4.787704845,4.787704845,4.787704845,4.787704845,4.787704845,4.787704845,4.787704845,4.787704845,4.787704845
atp1b1b,5.866628279,linear_down,0.025839495,5.866628279,5.866628279,5.866628279,5.866628279,5.866628279,5.866628279,5.866628279,5.866628279,5.866628279,5.866628279,5.866628279,5.866628279
atp5c1,5.15900798,linear_down,0.001468991,5.15900798,5.15900798,5.15900798,5.15900798,5.15900798,5.15900798,5.15900798,5.15900798,5.15900798,5.15900798,5.15900798,5.15900798
