,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
ednrab,0.027438186,lgaussian_up,0.005459935,0.027438186,0.027438186,0.027438186,0.027438186,0.027438186,0.027438186,0.027438186,0.027438186,0.027438186,0.027438186,0.027438186,0.027438186
eif2b3,0.023097957,lgaussian_up,0.020085695,0.023097957,0.023097957,0.023097957,0.023097957,0.023097957,0.023097957,0.023097957,0.023097957,0.023097957,0.023097957,0.023097957,0.023097957
eif3c,0.027167959,lgaussian_up,0.020136559,0.027167959,0.027167959,0.027167959,0.027167959,0.027167959,0.027167959,0.027167959,0.027167959,0.027167959,0.027167959,0.027167959,0.027167959
eif4g2b,0.031765145,lgaussian_up,0.001312873,0.031765145,0.031765145,0.031765145,0.031765145,0.031765145,0.031765145,0.031765145,0.031765145,0.031765145,0.031765145,0.031765145,0.031765145
eif5,0.025182425,lgaussian_up,3.80E-05,0.025182425,0.025182425,0.025182425,0.025182425,0.025182425,0.025182425,0.025182425,0.025182425,0.025182425,0.025182425,0.025182425,0.025182425
ephb2b,0.009602244,lgaussian_up,0.011303447,0.009602244,0.009602244,0.009602244,0.009602244,0.009602244,0.009602244,0.009602244,0.009602244,0.009602244,0.009602244,0.009602244,0.009602244
fgf8a,0.003472564,lgaussian_up,0.006657025,0.003472564,0.003472564,0.003472564,0.003472564,0.003472564,0.003472564,0.003472564,0.003472564,0.003472564,0.003472564,0.003472564,0.003472564
fgfr3,0.010073122,lgaussian_up,0.033740589,0.010073122,0.010073122,0.010073122,0.010073122,0.010073122,0.010073122,0.010073122,0.010073122,0.010073122,0.010073122,0.010073122,0.010073122
foxa2,0.030435128,lgaussian_up,6.65E-05,0.030435128,0.030435128,0.030435128,0.030435128,0.030435128,0.030435128,0.030435128,0.030435128,0.030435128,0.030435128,0.030435128,0.030435128
fynb,9.813593503,linear_down,0.009718469,9.813593503,9.813593503,9.813593503,9.813593503,9.813593503,9.813593503,9.813593503,9.813593503,9.813593503,9.813593503,9.813593503,9.813593503
gatm,0.080444969,lgaussian_up,0.000298237,0.080444969,0.080444969,0.080444969,0.080444969,0.080444969,0.080444969,0.080444969,0.080444969,0.080444969,0.080444969,0.080444969,0.080444969
glud1a,0.002780578,lgaussian_up,0.024209466,0.002780578,0.002780578,0.002780578,0.002780578,0.002780578,0.002780578,0.002780578,0.002780578,0.002780578,0.002780578,0.002780578,0.002780578
gna12a,0.025067522,lgaussian_up,0.011051906,0.025067522,0.025067522,0.025067522,0.025067522,0.025067522,0.025067522,0.025067522,0.025067522,0.025067522,0.025067522,0.025067522,0.025067522
gnb1b,0.023564814,lgaussian_up,0.031790653,0.023564814,0.023564814,0.023564814,0.023564814,0.023564814,0.023564814,0.023564814,0.023564814,0.023564814,0.023564814,0.023564814,0.023564814
gstt1a,10.38324981,linear_down,0.021080167,10.38324981,10.38324981,10.38324981,10.38324981,10.38324981,10.38324981,10.38324981,10.38324981,10.38324981,10.38324981,10.38324981,10.38324981
hnf1ba,-0.00103436,gaussian_down,0.045190584,-0.00103436,-0.00103436,-0.00103436,-0.00103436,-0.00103436,-0.00103436,-0.00103436,-0.00103436,-0.00103436,-0.00103436,-0.00103436,-0.00103436
hspa4b,0.019201753,lgaussian_up,4.57E-05,0.019201753,0.019201753,0.019201753,0.019201753,0.019201753,0.019201753,0.019201753,0.019201753,0.019201753,0.019201753,0.019201753,0.019201753
htatsf1,0.009747953,lgaussian_up,0.005903368,0.009747953,0.009747953,0.009747953,0.009747953,0.009747953,0.009747953,0.009747953,0.009747953,0.009747953,0.009747953,0.009747953,0.009747953
igfbp2a,0.006125806,lgaussian_up,0.003341306,0.006125806,0.006125806,0.006125806,0.006125806,0.006125806,0.006125806,0.006125806,0.006125806,0.006125806,0.006125806,0.006125806,0.006125806
igfbp5b,0.051620322,lgaussian_up,0.000197547,0.051620322,0.051620322,0.051620322,0.051620322,0.051620322,0.051620322,0.051620322,0.051620322,0.051620322,0.051620322,0.051620322,0.051620322
ikbkap,0.005450839,lgaussian_up,0.001229203,0.005450839,0.005450839,0.005450839,0.005450839,0.005450839,0.005450839,0.005450839,0.005450839,0.005450839,0.005450839,0.005450839,0.005450839
impdh2,17.14402587,linear_up,0.017937853,17.14402587,17.14402587,17.14402587,17.14402587,17.14402587,17.14402587,17.14402587,17.14402587,17.14402587,17.14402587,17.14402587,17.14402587
jak1,0.002533906,lgaussian_up,0.021831273,0.002533906,0.002533906,0.002533906,0.002533906,0.002533906,0.002533906,0.002533906,0.002533906,0.002533906,0.002533906,0.002533906,0.002533906
krt97,0.004353841,lgaussian_up,0.000288615,0.004353841,0.004353841,0.004353841,0.004353841,0.004353841,0.004353841,0.004353841,0.004353841,0.004353841,0.004353841,0.004353841,0.004353841
lias,0.069604763,gaussian_up,0.003662403,0.069604763,0.069604763,0.069604763,0.069604763,0.069604763,0.069604763,0.069604763,0.069604763,0.069604763,0.069604763,0.069604763,0.069604763
lsm6,0.010238214,lgaussian_up,0.000706725,0.010238214,0.010238214,0.010238214,0.010238214,0.010238214,0.010238214,0.010238214,0.010238214,0.010238214,0.010238214,0.010238214,0.010238214
mapkapk2a,8856907153,lgaussian_up,3.41E-05,8856907153,8856907153,8856907153,8856907153,8856907153,8856907153,8856907153,8856907153,8856907153,8856907153,8856907153,8856907153
mif,0.078642228,gaussian_up,0.003286201,0.078642228,0.078642228,0.078642228,0.078642228,0.078642228,0.078642228,0.078642228,0.078642228,0.078642228,0.078642228,0.078642228,0.078642228
mthfd1b,0.034953925,lgaussian_up,2.17E-05,0.034953925,0.034953925,0.034953925,0.034953925,0.034953925,0.034953925,0.034953925,0.034953925,0.034953925,0.034953925,0.034953925,0.034953925
ndc1,0.006717217,lgaussian_up,0.000993689,0.006717217,0.006717217,0.006717217,0.006717217,0.006717217,0.006717217,0.006717217,0.006717217,0.006717217,0.006717217,0.006717217,0.006717217
ndufa5,0.048802737,lgaussian_up,0.001714233,0.048802737,0.048802737,0.048802737,0.048802737,0.048802737,0.048802737,0.048802737,0.048802737,0.048802737,0.048802737,0.048802737,0.048802737
ndufa8,0.028522389,lgaussian_up,0.04121801,0.028522389,0.028522389,0.028522389,0.028522389,0.028522389,0.028522389,0.028522389,0.028522389,0.028522389,0.028522389,0.028522389,0.028522389
ndufb2,0.260035305,lgaussian_up,0.026817935,0.260035305,0.260035305,0.260035305,0.260035305,0.260035305,0.260035305,0.260035305,0.260035305,0.260035305,0.260035305,0.260035305,0.260035305
nhp2l1b,-0.000142958,gaussian_down,0.000505826,-0.000142958,-0.000142958,-0.000142958,-0.000142958,-0.000142958,-0.000142958,-0.000142958,-0.000142958,-0.000142958,-0.000142958,-0.000142958,-0.000142958
nup107,0.01816588,lgaussian_up,0.001904214,0.01816588,0.01816588,0.01816588,0.01816588,0.01816588,0.01816588,0.01816588,0.01816588,0.01816588,0.01816588,0.01816588,0.01816588
orc5,11.50325067,linear_up,0.026707617,11.50325067,11.50325067,11.50325067,11.50325067,11.50325067,11.50325067,11.50325067,11.50325067,11.50325067,11.50325067,11.50325067,11.50325067
otx2,0.013300649,lgaussian_up,0.003710413,0.013300649,0.013300649,0.013300649,0.013300649,0.013300649,0.013300649,0.013300649,0.013300649,0.013300649,0.013300649,0.013300649,0.013300649
pafah1b3,0.006203143,lgaussian_up,9.53E-05,0.006203143,0.006203143,0.006203143,0.006203143,0.006203143,0.006203143,0.006203143,0.006203143,0.006203143,0.006203143,0.006203143,0.006203143
pak4,0.02454497,lgaussian_up,0.020047386,0.02454497,0.02454497,0.02454497,0.02454497,0.02454497,0.02454497,0.02454497,0.02454497,0.02454497,0.02454497,0.02454497,0.02454497
patl1,0.082161659,lgaussian_up,0.000251649,0.082161659,0.082161659,0.082161659,0.082161659,0.082161659,0.082161659,0.082161659,0.082161659,0.082161659,0.082161659,0.082161659,0.082161659
pax6a,0.083634332,lgaussian_up,0.000217,0.083634332,0.083634332,0.083634332,0.083634332,0.083634332,0.083634332,0.083634332,0.083634332,0.083634332,0.083634332,0.083634332,0.083634332
pdcd6,0.037419284,lgaussian_up,0.000220878,0.037419284,0.037419284,0.037419284,0.037419284,0.037419284,0.037419284,0.037419284,0.037419284,0.037419284,0.037419284,0.037419284,0.037419284
pdgfra,0.005128817,lgaussian_up,0.036427397,0.005128817,0.005128817,0.005128817,0.005128817,0.005128817,0.005128817,0.005128817,0.005128817,0.005128817,0.005128817,0.005128817,0.005128817
pdhx,0.012022105,lgaussian_up,0.049116567,0.012022105,0.012022105,0.012022105,0.012022105,0.012022105,0.012022105,0.012022105,0.012022105,0.012022105,0.012022105,0.012022105,0.012022105
pfkpa,0.196483286,lgaussian_up,0.020086304,0.196483286,0.196483286,0.196483286,0.196483286,0.196483286,0.196483286,0.196483286,0.196483286,0.196483286,0.196483286,0.196483286,0.196483286
phgdh,0.008180185,lgaussian_up,0.001927309,0.008180185,0.008180185,0.008180185,0.008180185,0.008180185,0.008180185,0.008180185,0.008180185,0.008180185,0.008180185,0.008180185,0.008180185
plod1a,0.104501479,lgaussian_up,0.024729245,0.104501479,0.104501479,0.104501479,0.104501479,0.104501479,0.104501479,0.104501479,0.104501479,0.104501479,0.104501479,0.104501479,0.104501479
plod3,0.007025056,lgaussian_up,0.008089378,0.007025056,0.007025056,0.007025056,0.007025056,0.007025056,0.007025056,0.007025056,0.007025056,0.007025056,0.007025056,0.007025056,0.007025056
plp2,0.040555553,lgaussian_up,0.001597175,0.040555553,0.040555553,0.040555553,0.040555553,0.040555553,0.040555553,0.040555553,0.040555553,0.040555553,0.040555553,0.040555553,0.040555553
plrg1,0.017800702,lgaussian_up,9.45E-06,0.017800702,0.017800702,0.017800702,0.017800702,0.017800702,0.017800702,0.017800702,0.017800702,0.017800702,0.017800702,0.017800702,0.017800702
pmm2,0.010308225,lgaussian_up,0.001457609,0.010308225,0.010308225,0.010308225,0.010308225,0.010308225,0.010308225,0.010308225,0.010308225,0.010308225,0.010308225,0.010308225,0.010308225
pold3,0.118306364,lgaussian_up,0.042146134,0.118306364,0.118306364,0.118306364,0.118306364,0.118306364,0.118306364,0.118306364,0.118306364,0.118306364,0.118306364,0.118306364,0.118306364
