,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
abl1,17.8632465,linear_up,0.020119604,17.8632465,17.8632465,17.8632465,17.8632465,17.8632465,17.8632465,17.8632465,17.8632465,17.8632465,17.8632465,17.8632465,17.8632465
aco2,10.33222982,linear_up,0.004624681,10.33222982,10.33222982,10.33222982,10.33222982,10.33222982,10.33222982,10.33222982,10.33222982,10.33222982,10.33222982,10.33222982,10.33222982
adora2aa,0.00485529,lgaussian_up,0.018002515,0.00485529,0.00485529,0.00485529,0.00485529,0.00485529,0.00485529,0.00485529,0.00485529,0.00485529,0.00485529,0.00485529,0.00485529
adora2ab,4.750212096,linlog_down,0.018960451,4.750212096,4.750212096,4.750212096,4.750212096,4.750212096,4.750212096,4.750212096,4.750212096,4.750212096,4.750212096,4.750212096,4.750212096
adsl,0.001748607,lgaussian_up,0.047036367,0.001748607,0.001748607,0.001748607,0.001748607,0.001748607,0.001748607,0.001748607,0.001748607,0.001748607,0.001748607,0.001748607,0.001748607
ahr2,9.394820058,linear_up,0.039528476,9.394820058,9.394820058,9.394820058,9.394820058,9.394820058,9.394820058,9.394820058,9.394820058,9.394820058,9.394820058,9.394820058,9.394820058
ak2,0.000710117,gaussian_up,0.003207203,0.000710117,0.000710117,0.000710117,0.000710117,0.000710117,0.000710117,0.000710117,0.000710117,0.000710117,0.000710117,0.000710117,0.000710117
atf4a,0.007379696,gaussian_up,0.000350781,0.007379696,0.007379696,0.007379696,0.007379696,0.007379696,0.007379696,0.007379696,0.007379696,0.007379696,0.007379696,0.007379696,0.007379696
bbc3,0.002215601,lgaussian_up,0.007828059,0.002215601,0.002215601,0.002215601,0.002215601,0.002215601,0.002215601,0.002215601,0.002215601,0.002215601,0.002215601,0.002215601,0.002215601
bcl2a,0.106497019,gaussian_down,0.016522981,0.106497019,0.106497019,0.106497019,0.106497019,0.106497019,0.106497019,0.106497019,0.106497019,0.106497019,0.106497019,0.106497019,0.106497019
bdh2,8.976752882,linear_down,0.008603585,8.976752882,8.976752882,8.976752882,8.976752882,8.976752882,8.976752882,8.976752882,8.976752882,8.976752882,8.976752882,8.976752882,8.976752882
btg3,0.010751941,lgaussian_up,0.000115061,0.010751941,0.010751941,0.010751941,0.010751941,0.010751941,0.010751941,0.010751941,0.010751941,0.010751941,0.010751941,0.010751941,0.010751941
casp9,0.100000479,gaussian_up,0.005516453,0.100000479,0.100000479,0.100000479,0.100000479,0.100000479,0.100000479,0.100000479,0.100000479,0.100000479,0.100000479,0.100000479,0.100000479
cbr1l,12.92653615,linear_down,0.040799474,12.92653615,12.92653615,12.92653615,12.92653615,12.92653615,12.92653615,12.92653615,12.92653615,12.92653615,12.92653615,12.92653615,12.92653615
