"gene.id","mod.name","b","c","d","e","f","SDres","AIC.model","lof.p","ctrl.mod","ctrl.mean","adv.incr","bmd","bmdl","bmdu","bmr","conv.pass","hd.pass","CI.pass","ld.pass","all.pass"
"rrs1","Exp4",73089.8990638475,0.6867501718133,NA,1,NA,0.166747608307608,-4.39,0.718553922594569,1,1,FALSE,1.03954489999624e-05,2.46150098200114e-06,2.34872705244077e-05,0.833252391692392,TRUE,TRUE,TRUE,TRUE,TRUE
"pax5","Exp4",61594.1657968084,0.663063512057471,NA,1.0007064261103,NA,0.207718030130788,0.88,0.606280991624521,1.0007064261103,1,FALSE,1.56301764233318e-05,3.46718166254287e-06,4.34804195151675e-05,0.792281969869212,TRUE,TRUE,TRUE,TRUE,TRUE
"fgfr3","Exp4",32507.1217863035,0.720633325289853,NA,1.0100618856073,NA,0.17181319714236,-3.67,0.387809233212751,1.0100618856073,1,FALSE,3.181904810887e-05,8.6848093208575e-06,9.75785596372062e-05,0.82818680285764,TRUE,TRUE,TRUE,TRUE,TRUE
"P2RY1","Exp4",8782.3103136524,0.421811376650465,NA,1,NA,0.230791428239778,3.41,0.386512669658119,1,1,FALSE,5.5647944025381e-05,6.92542117897262e-06,0.000106278478220412,0.769208571760222,TRUE,TRUE,TRUE,TRUE,TRUE
"pdhx","Exp4",11771.4024790412,0.504188297474591,NA,1,NA,0.325912746725921,11.7,0.498076980905047,1,1,FALSE,8.3454614960165e-05,1.04215902518735e-05,0.000214653825859052,0.674087253274079,TRUE,TRUE,TRUE,TRUE,TRUE
"wdr43","Exp4",8964.46676212386,0.581116645380662,NA,1,NA,0.241444246411808,4.5,0.143555421059994,1,1,FALSE,8.84889500564995e-05,1.51377133822075e-05,0.00020195541852919,0.758555753588192,TRUE,TRUE,TRUE,TRUE,TRUE
"nr1h3","Exp4",7805.86025813832,0.666637457587335,NA,1,NA,0.208062591141586,0.92,0.46649117079377,1,1,FALSE,0.000114786991689915,2.30804477797448e-05,0.000304595984700275,0.791937408858414,TRUE,TRUE,TRUE,TRUE,TRUE
"cdk6","Exp4",7515.27953601435,0.529463196450997,NA,1.01170195692177,NA,0.296918806731591,9.46,0.707045370822512,1.01170195692177,1,FALSE,0.000139048611548641,3.09651201546164e-05,0.000343688375627961,0.703081193268409,TRUE,TRUE,TRUE,TRUE,TRUE
"cad","Exp4",4366.01821398519,0.450394840442213,NA,1,NA,0.332505819520017,12.18,0.195280866517133,1,1,FALSE,0.000199133684071649,2.71472817044669e-05,0.000431092044456206,0.667494180479983,TRUE,TRUE,TRUE,TRUE,TRUE
"gata6","Exp4",3459.65629879618,0.49905779268977,NA,1,NA,0.284767577891339,8.46,0.371875918143822,1,1,FALSE,0.000224089890335413,3.39726345345504e-05,0.000478943468548657,0.715232422108661,TRUE,TRUE,TRUE,TRUE,TRUE
"odc1","Exp4",2245.79625397651,0.671778985685719,NA,1.01548326358452,NA,0.188308953320908,-1.47,0.356713130897803,1.01548326358452,1,FALSE,0.000420914448614407,0.000126917432091967,0.000989786941051802,0.811691046679092,TRUE,TRUE,TRUE,TRUE,TRUE
"sox9b","Exp4",3130.22727476473,0.416203736872376,NA,1.11275602807366,NA,0.388812391279217,15.93,0.318815124607782,1.11275602807366,1,FALSE,0.000472429651043172,0.000160591185003216,0.00127365143467834,0.611187608720783,TRUE,TRUE,TRUE,TRUE,TRUE
"ralaa","Exp4",2282.71087017919,0.506876179100066,NA,1.06936262328066,NA,0.296051566640101,9.39,0.166512625983822,1.06936262328066,1,FALSE,0.000517261217525162,0.000175409743403455,0.00115449228605326,0.7039484333599,TRUE,TRUE,TRUE,TRUE,TRUE
"mat1a","Exp4",2103.30227747872,0.559070085806972,NA,1.09070350273083,NA,0.235668211790156,3.91,0.187966246999912,1.09070350273083,1,FALSE,0.000539712090613183,0.000221334593305522,0.00109471861843942,0.764331788209844,TRUE,TRUE,TRUE,TRUE,TRUE
"adka","Exp4",2069.01823359334,0.523507216785634,NA,1.11284921378846,NA,0.259719893869363,6.25,0.233393322352836,1.11284921378846,1,FALSE,0.000586128295755298,0.000246934336311976,0.00118490230907343,0.740280106130637,TRUE,TRUE,TRUE,TRUE,TRUE
"ntrk1","Exp4",794.246712401582,0.522813712838309,NA,1,NA,0.268851450494596,7.08,0.841906947492751,1,1,FALSE,0.000891403249748004,0.000123640812622925,0.001903520761977,0.731148549505404,TRUE,TRUE,TRUE,TRUE,TRUE
"rela","Exp4",643.048738084907,0.540706838145963,NA,1.12029964943592,NA,0.205555199184883,0.63,0.750623354155531,1.12029964943592,1,FALSE,0.00156002718138127,0.000773940486356372,0.00264218244833367,0.794444800815117,TRUE,TRUE,TRUE,TRUE,TRUE
"rbm28","Exp4",346.491107784596,0.648389814483839,NA,1.02953578418605,NA,0.188135112508063,-1.49,0.334542434474137,1.02953578418605,1,FALSE,0.00265394338620148,0.000938872466937272,0.00552554884636114,0.811864887491937,TRUE,TRUE,TRUE,TRUE,TRUE
"nol6","Exp4",219.107144647533,0.794659113088005,NA,1,NA,0.104826878448055,-15.53,0.168555791870853,1,1,FALSE,0.00282802755011181,0.000711499370306515,0.00613957443293975,0.895173121551945,TRUE,TRUE,TRUE,TRUE,TRUE
"pccb","Poly2",1.0446382835524,2.46779358398631,-0.249220216013728,NA,NA,0.132709121343599,-9.87,0.890352002069365,1.0446382835524,1,TRUE,0.0358176485224424,0.00478436399365902,0.06704829166068,1.1327091213436,TRUE,TRUE,TRUE,TRUE,TRUE
"sar1b","Poly2",1.05340935539426,2.57461435841898,-0.258507971887653,NA,NA,0.147547366225741,-7.32,0.417790578521051,1.05340935539426,1,TRUE,0.0366991568671198,0.0036292642477652,0.0699919844551484,1.14754736622574,TRUE,TRUE,TRUE,TRUE,TRUE
"ctgfb","Poly2",1.11544664007651,6.39708881792007,-0.641642074590116,NA,NA,0.352779608741451,13.6,0.829146347166078,1.11544664007651,1,TRUE,0.0372392475407536,0.00540942156945432,0.0692753548605208,1.35277960874145,TRUE,TRUE,TRUE,TRUE,TRUE
"EPHA2_2of2","Poly2",1.06015867124508,4.59065110479647,-0.461554841561156,NA,NA,0.241377571187459,4.49,0.457810908858343,1.06015867124508,1,TRUE,0.0396335759700133,0.00926569758402982,0.070189713713514,1.24137757118746,TRUE,TRUE,TRUE,TRUE,TRUE
"prpf6","Poly2",1.04105730962946,2.47858041142954,-0.247961177851806,NA,NA,0.143347574319871,-8.02,0.159184139896398,1.04105730962946,1,TRUE,0.0414415092747469,0.00803786781628884,0.0750720031470018,1.14334757431987,TRUE,TRUE,TRUE,TRUE,TRUE
"bub3","Poly2",1.10068375562705,3.99951830094489,-0.401460168398957,NA,NA,0.285081072136481,8.48,0.113113205610286,1.10068375562705,1,TRUE,0.0463202469254974,0.00514261810072163,0.0878446784989953,1.28508107213648,TRUE,TRUE,TRUE,TRUE,TRUE
"ncoa2","Poly2",0.976846756032351,5.38666031192707,-0.539006318314614,NA,NA,0.235992750385185,3.95,0.40366113263915,0.976846756032351,1,TRUE,0.0483426922022584,0.0229832243427599,0.0738329627090916,1.23599275038518,TRUE,TRUE,TRUE,TRUE,TRUE
"psmb7","Poly2",1.07207400843489,7.58234271541752,-0.754735972666188,NA,NA,0.446013304104996,19.22,0.321526866665958,1.07207400843489,1,TRUE,0.049561620995431,0.015535092657683,0.083822858114225,1.446013304105,TRUE,TRUE,TRUE,TRUE,TRUE
"foxc1a","Poly2",1.06736765212759,3.15526426430629,-0.314559063061117,NA,NA,0.231458941238303,3.48,0.547524689584491,1.06736765212759,1,TRUE,0.0522780225640521,0.00985631315067012,0.0950657914347057,1.2314589412383,TRUE,TRUE,TRUE,TRUE,TRUE
"cltcb","Poly2",1.05971398372201,3.48782725717381,-0.349318512917787,NA,NA,0.251245258340178,5.45,0.150761414897675,1.05971398372201,1,TRUE,0.0552195971671889,0.0135331277274073,0.0972613709342904,1.25124525834018,TRUE,TRUE,TRUE,TRUE,TRUE
"bcl2a","Poly2",1.10874755634595,3.30317511212183,-0.332315897065027,NA,NA,0.296470340375349,9.42,0.181864499844843,1.10874755634595,1,TRUE,0.0571597117614917,0.00525145332033173,0.109622821468361,1.29647034037535,TRUE,TRUE,TRUE,TRUE,TRUE
"fmn2a","Poly2",1.05352263172442,3.77171776019369,-0.379142697466536,NA,NA,0.280031772792536,8.05,0.220853504984077,1.05352263172442,1,TRUE,0.0604216219651602,0.017415604896347,0.103807890643571,1.28003177279254,TRUE,TRUE,TRUE,TRUE,TRUE
"rfc1","Poly2",1.06175768552959,3.64877209691887,-0.365668179104015,NA,NA,0.280997063135606,8.14,0.346210774827211,1.06175768552959,1,TRUE,0.0604520336022127,0.0158516692628922,0.105460232330958,1.28099706313561,TRUE,TRUE,TRUE,TRUE,TRUE
"smad1","Poly2",0.948020903241655,5.85830318587609,-0.58531115195241,NA,NA,0.301796104039195,9.85,0.209776881638724,0.948020903241655,1,TRUE,0.0607575011085368,0.0308771031739121,0.0908198429539438,1.30179610403919,TRUE,TRUE,TRUE,TRUE,TRUE
"thop1","Poly2",0.962278350441086,5.46738725232743,-0.547846280475041,NA,NA,0.297291966929827,9.49,0.189804612616824,0.962278350441086,1,TRUE,0.0616558156529409,0.030115534541886,0.0933995254479007,1.29729196692983,TRUE,TRUE,TRUE,TRUE,TRUE
"hs6st2","Poly2",0.961232207992106,3.2780854684127,-0.328169498519288,NA,NA,0.167336248833617,-4.3,0.322064687444169,0.961232207992106,1,TRUE,0.0632740988730921,0.0336493640148479,0.0930781226041262,1.16733624883362,TRUE,TRUE,TRUE,TRUE,TRUE
