,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
rpa1,1.14E-05,gaussian_up,0.009163304,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05,1.14E-05
umps,1.44E-05,gaussian_down,0.003501862,1.44E-05,1.44E-05,1.44E-05,1.44E-05,1.44E-05,1.44E-05,1.44E-05,1.44E-05,1.44E-05,1.44E-05,1.44E-05,1.44E-05
xab2,9.23E-05,LL.3_down,0.000146004,9.23E-05,9.23E-05,9.23E-05,9.23E-05,9.23E-05,9.23E-05,9.23E-05,9.23E-05,9.23E-05,9.23E-05,9.23E-05,9.23E-05
mcm5,0.000462862,MM.3_down,0.000761995,0.000462862,0.000462862,0.000462862,0.000462862,0.000462862,0.000462862,0.000462862,0.000462862,0.000462862,0.000462862,0.000462862,0.000462862
hoxb3a,0.001016915,LL.3_down,0.011885948,0.001016915,0.001016915,0.001016915,0.001016915,0.001016915,0.001016915,0.001016915,0.001016915,0.001016915,0.001016915,0.001016915,0.001016915
ubr5,0.00150733,gaussian_up,0.001649692,0.00150733,0.00150733,0.00150733,0.00150733,0.00150733,0.00150733,0.00150733,0.00150733,0.00150733,0.00150733,0.00150733,0.00150733
xbp1,0.010285576,lgaussian_up,0.003167617,0.010285576,0.010285576,0.010285576,0.010285576,0.010285576,0.010285576,0.010285576,0.010285576,0.010285576,0.010285576,0.010285576,0.010285576
rpa2,0.010625789,gaussian_up,0.01964288,0.010625789,0.010625789,0.010625789,0.010625789,0.010625789,0.010625789,0.010625789,0.010625789,0.010625789,0.010625789,0.010625789,0.010625789
hoxb5b,0.019802645,LL.3_down,2.20E-06,0.019802645,0.019802645,0.019802645,0.019802645,0.019802645,0.019802645,0.019802645,0.019802645,0.019802645,0.019802645,0.019802645,0.019802645
hsd3b7,0.021549411,lgaussian_up,1.74E-05,0.021549411,0.021549411,0.021549411,0.021549411,0.021549411,0.021549411,0.021549411,0.021549411,0.021549411,0.021549411,0.021549411,0.021549411
atp5e,0.033052952,LL.3_up,0.002006443,0.033052952,0.033052952,0.033052952,0.033052952,0.033052952,0.033052952,0.033052952,0.033052952,0.033052952,0.033052952,0.033052952,0.033052952
nup188,0.072225904,LL.3_down,0.006130708,0.072225904,0.072225904,0.072225904,0.072225904,0.072225904,0.072225904,0.072225904,0.072225904,0.072225904,0.072225904,0.072225904,0.072225904
gmppb,0.08748379,lgaussian_up,0.013868659,0.08748379,0.08748379,0.08748379,0.08748379,0.08748379,0.08748379,0.08748379,0.08748379,0.08748379,0.08748379,0.08748379,0.08748379
nhp2l1b,0.10143308,lgaussian_up,0.033431092,0.10143308,0.10143308,0.10143308,0.10143308,0.10143308,0.10143308,0.10143308,0.10143308,0.10143308,0.10143308,0.10143308,0.10143308
pigx,0.111929784,lgaussian_up,0.006940631,0.111929784,0.111929784,0.111929784,0.111929784,0.111929784,0.111929784,0.111929784,0.111929784,0.111929784,0.111929784,0.111929784,0.111929784
hoxb5a,0.140658075,linlog_down,0.036497788,0.140658075,0.140658075,0.140658075,0.140658075,0.140658075,0.140658075,0.140658075,0.140658075,0.140658075,0.140658075,0.140658075,0.140658075
zeb1a,0.174027532,LL.3_down,0.001111381,0.174027532,0.174027532,0.174027532,0.174027532,0.174027532,0.174027532,0.174027532,0.174027532,0.174027532,0.174027532,0.174027532,0.174027532
dhrs3a,0.243280982,linlog_down,0.01722237,0.243280982,0.243280982,0.243280982,0.243280982,0.243280982,0.243280982,0.243280982,0.243280982,0.243280982,0.243280982,0.243280982,0.243280982
dusp3a,0.341108397,linlog_down,0.02287436,0.341108397,0.341108397,0.341108397,0.341108397,0.341108397,0.341108397,0.341108397,0.341108397,0.341108397,0.341108397,0.341108397,0.341108397
dhrs3b,0.372000349,linlog_down,0.014338365,0.372000349,0.372000349,0.372000349,0.372000349,0.372000349,0.372000349,0.372000349,0.372000349,0.372000349,0.372000349,0.372000349,0.372000349
cyp2y3,0.483352551,linlog_up,0.009465062,0.483352551,0.483352551,0.483352551,0.483352551,0.483352551,0.483352551,0.483352551,0.483352551,0.483352551,0.483352551,0.483352551,0.483352551
ak1,0.736882686,gaussian_up,0.012910085,0.736882686,0.736882686,0.736882686,0.736882686,0.736882686,0.736882686,0.736882686,0.736882686,0.736882686,0.736882686,0.736882686,0.736882686
lsm4,0.759673598,gaussian_up,0.000642849,0.759673598,0.759673598,0.759673598,0.759673598,0.759673598,0.759673598,0.759673598,0.759673598,0.759673598,0.759673598,0.759673598,0.759673598
foxc1a,0.785678537,linlog_down,0.032784712,0.785678537,0.785678537,0.785678537,0.785678537,0.785678537,0.785678537,0.785678537,0.785678537,0.785678537,0.785678537,0.785678537,0.785678537
caspb,0.806923186,LL.3_up,0.000279795,0.806923186,0.806923186,0.806923186,0.806923186,0.806923186,0.806923186,0.806923186,0.806923186,0.806923186,0.806923186,0.806923186,0.806923186
mapk11,0.923807244,linlog_down,0.037356161,0.923807244,0.923807244,0.923807244,0.923807244,0.923807244,0.923807244,0.923807244,0.923807244,0.923807244,0.923807244,0.923807244,0.923807244
tbx1,0.98891273,linlog_down,0.01539487,0.98891273,0.98891273,0.98891273,0.98891273,0.98891273,0.98891273,0.98891273,0.98891273,0.98891273,0.98891273,0.98891273,0.98891273
nr1h3,1.144955769,linlog_down,0.027264053,1.144955769,1.144955769,1.144955769,1.144955769,1.144955769,1.144955769,1.144955769,1.144955769,1.144955769,1.144955769,1.144955769,1.144955769
psmd5,1.296151916,linlog_down,0.005127399,1.296151916,1.296151916,1.296151916,1.296151916,1.296151916,1.296151916,1.296151916,1.296151916,1.296151916,1.296151916,1.296151916,1.296151916
tgfb2,1.313127577,linlog_down,0.008310985,1.313127577,1.313127577,1.313127577,1.313127577,1.313127577,1.313127577,1.313127577,1.313127577,1.313127577,1.313127577,1.313127577,1.313127577
cbr1l,1.536461248,linlog_up,0.023402578,1.536461248,1.536461248,1.536461248,1.536461248,1.536461248,1.536461248,1.536461248,1.536461248,1.536461248,1.536461248,1.536461248,1.536461248
stm,1.877831631,linlog_down,0.015857802,1.877831631,1.877831631,1.877831631,1.877831631,1.877831631,1.877831631,1.877831631,1.877831631,1.877831631,1.877831631,1.877831631,1.877831631
hnf4a,2.032073267,linlog_up,0.028694378,2.032073267,2.032073267,2.032073267,2.032073267,2.032073267,2.032073267,2.032073267,2.032073267,2.032073267,2.032073267,2.032073267,2.032073267
alg5,2.24660519,linlog_up,0.007606903,2.24660519,2.24660519,2.24660519,2.24660519,2.24660519,2.24660519,2.24660519,2.24660519,2.24660519,2.24660519,2.24660519,2.24660519
