,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
acvr1l,0.479743591,lgaussian_up,0.000595175,0.479743591,0.479743591,0.479743591,0.479743591,0.479743591,0.479743591,0.479743591,0.479743591,0.479743591,0.479743591,0.479743591,0.479743591
adora2ab,0.151499145,gaussian_up,0.006475817,0.151499145,0.151499145,0.151499145,0.151499145,0.151499145,0.151499145,0.151499145,0.151499145,0.151499145,0.151499145,0.151499145,0.151499145
ahcyl1,0.063041177,gaussian_up,0.036774668,0.063041177,0.063041177,0.063041177,0.063041177,0.063041177,0.063041177,0.063041177,0.063041177,0.063041177,0.063041177,0.063041177,0.063041177
ahr1b,8.293133232,linear_down,0.033615581,8.293133232,8.293133232,8.293133232,8.293133232,8.293133232,8.293133232,8.293133232,8.293133232,8.293133232,8.293133232,8.293133232,8.293133232
akr1a1b,0.699494273,gaussian_up,0.00313015,0.699494273,0.699494273,0.699494273,0.699494273,0.699494273,0.699494273,0.699494273,0.699494273,0.699494273,0.699494273,0.699494273,0.699494273
akt3a,0.009273599,gaussian_up,0.005664509,0.009273599,0.009273599,0.009273599,0.009273599,0.009273599,0.009273599,0.009273599,0.009273599,0.009273599,0.009273599,0.009273599,0.009273599
alas1,0.889655648,LL.3_down,0.000108555,0.889655648,0.889655648,0.889655648,0.889655648,0.889655648,0.889655648,0.889655648,0.889655648,0.889655648,0.889655648,0.889655648,0.889655648
aldoaa,0.096228157,gaussian_up,0.012274561,0.096228157,0.096228157,0.096228157,0.096228157,0.096228157,0.096228157,0.096228157,0.096228157,0.096228157,0.096228157,0.096228157,0.096228157
aldob,0.131752856,gaussian_up,0.020716263,0.131752856,0.131752856,0.131752856,0.131752856,0.131752856,0.131752856,0.131752856,0.131752856,0.131752856,0.131752856,0.131752856,0.131752856
axin2,0.761982593,gaussian_up,0.034498039,0.761982593,0.761982593,0.761982593,0.761982593,0.761982593,0.761982593,0.761982593,0.761982593,0.761982593,0.761982593,0.761982593,0.761982593
bmp2a,14.83749114,linear_down,0.001066325,14.83749114,14.83749114,14.83749114,14.83749114,14.83749114,14.83749114,14.83749114,14.83749114,14.83749114,14.83749114,14.83749114,14.83749114
bnip4,0.094714516,lgaussian_up,0.002228589,0.094714516,0.094714516,0.094714516,0.094714516,0.094714516,0.094714516,0.094714516,0.094714516,0.094714516,0.094714516,0.094714516,0.094714516
cad,13.01219991,linear_down,0.045822373,13.01219991,13.01219991,13.01219991,13.01219991,13.01219991,13.01219991,13.01219991,13.01219991,13.01219991,13.01219991,13.01219991,13.01219991
cfd,0.095839329,gaussian_up,0.010357442,0.095839329,0.095839329,0.095839329,0.095839329,0.095839329,0.095839329,0.095839329,0.095839329,0.095839329,0.095839329,0.095839329,0.095839329
ckmt1,0.712381538,gaussian_up,0.00540087,0.712381538,0.712381538,0.712381538,0.712381538,0.712381538,0.712381538,0.712381538,0.712381538,0.712381538,0.712381538,0.712381538,0.712381538
cndp2,0.125212931,lgaussian_up,0.02887891,0.125212931,0.125212931,0.125212931,0.125212931,0.125212931,0.125212931,0.125212931,0.125212931,0.125212931,0.125212931,0.125212931,0.125212931
colec11,0.069546908,gaussian_up,0.008600849,0.069546908,0.069546908,0.069546908,0.069546908,0.069546908,0.069546908,0.069546908,0.069546908,0.069546908,0.069546908,0.069546908,0.069546908
cox6b2,0.060709829,MM.3_up,0.000870994,0.060709829,0.060709829,0.060709829,0.060709829,0.060709829,0.060709829,0.060709829,0.060709829,0.060709829,0.060709829,0.060709829,0.060709829
cox7a3,0.618588952,lgaussian_up,0.010867284,0.618588952,0.618588952,0.618588952,0.618588952,0.618588952,0.618588952,0.618588952,0.618588952,0.618588952,0.618588952,0.618588952,0.618588952
cp,9.068740449,linear_up,0.031727006,9.068740449,9.068740449,9.068740449,9.068740449,9.068740449,9.068740449,9.068740449,9.068740449,9.068740449,9.068740449,9.068740449,9.068740449
cpsf5,7.286651191,lgaussian_up,0.003792441,7.286651191,7.286651191,7.286651191,7.286651191,7.286651191,7.286651191,7.286651191,7.286651191,7.286651191,7.286651191,7.286651191,7.286651191
csnk1g2a,0.774224879,gaussian_up,0.010981214,0.774224879,0.774224879,0.774224879,0.774224879,0.774224879,0.774224879,0.774224879,0.774224879,0.774224879,0.774224879,0.774224879,0.774224879
cyp11a1,0.11499077,gaussian_up,0.020816466,0.11499077,0.11499077,0.11499077,0.11499077,0.11499077,0.11499077,0.11499077,0.11499077,0.11499077,0.11499077,0.11499077,0.11499077
cyp26a1,0.736540184,linlog_up,0.02081986,0.736540184,0.736540184,0.736540184,0.736540184,0.736540184,0.736540184,0.736540184,0.736540184,0.736540184,0.736540184,0.736540184,0.736540184
cyp3c1,0.005328752,gaussian_up,0.014328248,0.005328752,0.005328752,0.005328752,0.005328752,0.005328752,0.005328752,0.005328752,0.005328752,0.005328752,0.005328752,0.005328752,0.005328752
ddb2,0.082099834,gaussian_up,0.007087757,0.082099834,0.082099834,0.082099834,0.082099834,0.082099834,0.082099834,0.082099834,0.082099834,0.082099834,0.082099834,0.082099834,0.082099834
dhx15,1.440911756,lgaussian_up,0.013764826,1.440911756,1.440911756,1.440911756,1.440911756,1.440911756,1.440911756,1.440911756,1.440911756,1.440911756,1.440911756,1.440911756,1.440911756
echs1,0.544559382,lgaussian_up,0.005280079,0.544559382,0.544559382,0.544559382,0.544559382,0.544559382,0.544559382,0.544559382,0.544559382,0.544559382,0.544559382,0.544559382,0.544559382
eef1a1l1,0.306579644,lgaussian_up,0.009952495,0.306579644,0.306579644,0.306579644,0.306579644,0.306579644,0.306579644,0.306579644,0.306579644,0.306579644,0.306579644,0.306579644,0.306579644
eif4a1b,0.667718201,lgaussian_up,0.004672864,0.667718201,0.667718201,0.667718201,0.667718201,0.667718201,0.667718201,0.667718201,0.667718201,0.667718201,0.667718201,0.667718201,0.667718201
fbp1b,0.472093886,gaussian_up,0.017648836,0.472093886,0.472093886,0.472093886,0.472093886,0.472093886,0.472093886,0.472093886,0.472093886,0.472093886,0.472093886,0.472093886,0.472093886
fdps,0.764540367,gaussian_up,0.009248718,0.764540367,0.764540367,0.764540367,0.764540367,0.764540367,0.764540367,0.764540367,0.764540367,0.764540367,0.764540367,0.764540367,0.764540367
fgf8a,0.063754924,gaussian_up,0.014246273,0.063754924,0.063754924,0.063754924,0.063754924,0.063754924,0.063754924,0.063754924,0.063754924,0.063754924,0.063754924,0.063754924,0.063754924
fsta,0.111972286,gaussian_up,0.003689738,0.111972286,0.111972286,0.111972286,0.111972286,0.111972286,0.111972286,0.111972286,0.111972286,0.111972286,0.111972286,0.111972286,0.111972286
fth1a,0.62815117,lgaussian_up,0.025684277,0.62815117,0.62815117,0.62815117,0.62815117,0.62815117,0.62815117,0.62815117,0.62815117,0.62815117,0.62815117,0.62815117,0.62815117
gemin8,0.995932522,gaussian_up,0.030279221,0.995932522,0.995932522,0.995932522,0.995932522,0.995932522,0.995932522,0.995932522,0.995932522,0.995932522,0.995932522,0.995932522,0.995932522
gstp1,12.62389797,linlog_up,0.008610466,12.62389797,12.62389797,12.62389797,12.62389797,12.62389797,12.62389797,12.62389797,12.62389797,12.62389797,12.62389797,12.62389797,12.62389797
hoxb5a,5.359662716,linear_up,0.037724896,5.359662716,5.359662716,5.359662716,5.359662716,5.359662716,5.359662716,5.359662716,5.359662716,5.359662716,5.359662716,5.359662716,5.359662716
hoxb5b,6.937760177,linear_up,0.003621408,6.937760177,6.937760177,6.937760177,6.937760177,6.937760177,6.937760177,6.937760177,6.937760177,6.937760177,6.937760177,6.937760177,6.937760177
hsp70.1,0.118325549,gaussian_up,0.020390437,0.118325549,0.118325549,0.118325549,0.118325549,0.118325549,0.118325549,0.118325549,0.118325549,0.118325549,0.118325549,0.118325549,0.118325549
igf2b,0.081636099,lgaussian_up,0.034569488,0.081636099,0.081636099,0.081636099,0.081636099,0.081636099,0.081636099,0.081636099,0.081636099,0.081636099,0.081636099,0.081636099,0.081636099
igfbp1b,4.51281365,linear_up,0.000198291,4.51281365,4.51281365,4.51281365,4.51281365,4.51281365,4.51281365,4.51281365,4.51281365,4.51281365,4.51281365,4.51281365,4.51281365
ikbkap,0.100538061,gaussian_up,0.000952865,0.100538061,0.100538061,0.100538061,0.100538061,0.100538061,0.100538061,0.100538061,0.100538061,0.100538061,0.100538061,0.100538061,0.100538061
impdh2,0.894826452,lgaussian_up,0.00132111,0.894826452,0.894826452,0.894826452,0.894826452,0.894826452,0.894826452,0.894826452,0.894826452,0.894826452,0.894826452,0.894826452,0.894826452
kdr,0.108642688,gaussian_up,0.008200055,0.108642688,0.108642688,0.108642688,0.108642688,0.108642688,0.108642688,0.108642688,0.108642688,0.108642688,0.108642688,0.108642688,0.108642688
kpnb1,0.97887516,gaussian_up,6.37E-05,0.97887516,0.97887516,0.97887516,0.97887516,0.97887516,0.97887516,0.97887516,0.97887516,0.97887516,0.97887516,0.97887516,0.97887516
lin7a,9.955421416,linear_down,0.018882401,9.955421416,9.955421416,9.955421416,9.955421416,9.955421416,9.955421416,9.955421416,9.955421416,9.955421416,9.955421416,9.955421416,9.955421416
lpl,7.448915547,linear_down,0.010816561,7.448915547,7.448915547,7.448915547,7.448915547,7.448915547,7.448915547,7.448915547,7.448915547,7.448915547,7.448915547,7.448915547,7.448915547
map2k2a,20.44259398,linear_up,0.036589643,20.44259398,20.44259398,20.44259398,20.44259398,20.44259398,20.44259398,20.44259398,20.44259398,20.44259398,20.44259398,20.44259398,20.44259398
mdh2,2.037574868,lgaussian_up,0.003738373,2.037574868,2.037574868,2.037574868,2.037574868,2.037574868,2.037574868,2.037574868,2.037574868,2.037574868,2.037574868,2.037574868,2.037574868
ncoa3,0.064522039,gaussian_up,0.022257233,0.064522039,0.064522039,0.064522039,0.064522039,0.064522039,0.064522039,0.064522039,0.064522039,0.064522039,0.064522039,0.064522039,0.064522039
ndufab1b,4.729834874,lgaussian_up,0.012050583,4.729834874,4.729834874,4.729834874,4.729834874,4.729834874,4.729834874,4.729834874,4.729834874,4.729834874,4.729834874,4.729834874,4.729834874
ndufb7,1.359420569,lgaussian_up,0.000194657,1.359420569,1.359420569,1.359420569,1.359420569,1.359420569,1.359420569,1.359420569,1.359420569,1.359420569,1.359420569,1.359420569,1.359420569
ndufs8a,1.539351234,lgaussian_up,0.006827593,1.539351234,1.539351234,1.539351234,1.539351234,1.539351234,1.539351234,1.539351234,1.539351234,1.539351234,1.539351234,1.539351234,1.539351234
ndufv2,0.960336258,lgaussian_up,0.014119749,0.960336258,0.960336258,0.960336258,0.960336258,0.960336258,0.960336258,0.960336258,0.960336258,0.960336258,0.960336258,0.960336258,0.960336258
nos1,17.98671351,linear_down,0.01950032,17.98671351,17.98671351,17.98671351,17.98671351,17.98671351,17.98671351,17.98671351,17.98671351,17.98671351,17.98671351,17.98671351,17.98671351
nppa,1.319397148,linlog_down,0.035913332,1.319397148,1.319397148,1.319397148,1.319397148,1.319397148,1.319397148,1.319397148,1.319397148,1.319397148,1.319397148,1.319397148,1.319397148
pa2g4b,20.4587417,linear_up,0.023136458,20.4587417,20.4587417,20.4587417,20.4587417,20.4587417,20.4587417,20.4587417,20.4587417,20.4587417,20.4587417,20.4587417,20.4587417
pck2,6.043625658,linear_down,0.03353866,6.043625658,6.043625658,6.043625658,6.043625658,6.043625658,6.043625658,6.043625658,6.043625658,6.043625658,6.043625658,6.043625658,6.043625658
pde5ab,0.710062561,gaussian_up,0.029160997,0.710062561,0.710062561,0.710062561,0.710062561,0.710062561,0.710062561,0.710062561,0.710062561,0.710062561,0.710062561,0.710062561,0.710062561
plod1a,1.722448236,linlog_down,0.022504089,1.722448236,1.722448236,1.722448236,1.722448236,1.722448236,1.722448236,1.722448236,1.722448236,1.722448236,1.722448236,1.722448236,1.722448236
plod3,0.080667891,gaussian_up,0.024368537,0.080667891,0.080667891,0.080667891,0.080667891,0.080667891,0.080667891,0.080667891,0.080667891,0.080667891,0.080667891,0.080667891,0.080667891
polr2j,0.75731634,lgaussian_up,0.012175906,0.75731634,0.75731634,0.75731634,0.75731634,0.75731634,0.75731634,0.75731634,0.75731634,0.75731634,0.75731634,0.75731634,0.75731634
polr3k,7.39334391,linlog_up,0.038338545,7.39334391,7.39334391,7.39334391,7.39334391,7.39334391,7.39334391,7.39334391,7.39334391,7.39334391,7.39334391,7.39334391,7.39334391
ppp1cab,2.046872667,lgaussian_up,0.002168761,2.046872667,2.046872667,2.046872667,2.046872667,2.046872667,2.046872667,2.046872667,2.046872667,2.046872667,2.046872667,2.046872667,2.046872667
ppp1cb,0.117428763,lgaussian_up,0.010632608,0.117428763,0.117428763,0.117428763,0.117428763,0.117428763,0.117428763,0.117428763,0.117428763,0.117428763,0.117428763,0.117428763,0.117428763
prkaa1,0.010200863,gaussian_up,0.004849168,0.010200863,0.010200863,0.010200863,0.010200863,0.010200863,0.010200863,0.010200863,0.010200863,0.010200863,0.010200863,0.010200863,0.010200863
prps1a,0.158401598,lgaussian_up,0.035919591,0.158401598,0.158401598,0.158401598,0.158401598,0.158401598,0.158401598,0.158401598,0.158401598,0.158401598,0.158401598,0.158401598,0.158401598
ptges,7.381949392,linear_down,0.027371646,7.381949392,7.381949392,7.381949392,7.381949392,7.381949392,7.381949392,7.381949392,7.381949392,7.381949392,7.381949392,7.381949392,7.381949392
ptgs2b,0.134709584,lgaussian_up,0.03615074,0.134709584,0.134709584,0.134709584,0.134709584,0.134709584,0.134709584,0.134709584,0.134709584,0.134709584,0.134709584,0.134709584,0.134709584
