"nodes","name","%ppp","matched","mie","ao","pod"
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","3.26","yes","yes","n","1.51e-02"
"7395","INHIBITION DUAL OXIDASE","2.24","yes","yes","n","1.51e-02"
"6176","ACTIVATION PXR/SXR","0.05","yes","yes","n","5.23e-01"
"6866","INHIBITION PROLYL HYDROXYLASES","0.03","yes","yes","n","4.98e-02"
"7115","INHIBITION DEIODINASE 2","0.01","yes","yes","n","5.05e-03"
"7139","INHIBITION DEIODINASE 1","0.01","yes","yes","n","5.05e-03"
