"nodes","name","%ppp","matched","mie","ao","pod"
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","8.33","yes","yes","n","1.13e+00"
"7395","INHIBITION DUAL OXIDASE","5.73","yes","yes","n","1.13e+00"
