"nodes","name","%ppp","matched","mie","ao","pod"
"7004","BINDING OF INHIBITOR NADH-UBIQUINONE OXIDOREDUCTASE COMPLEX I","5.98","yes","yes","n","1.12e-01"
"6176","ACTIVATION PXR/SXR","0.04","yes","yes","n","5.73e-02"
