"nodes","name","%ppp","matched","mie","ao","pod"
"6499","REDUCED REPRODUCTIVE SUCCESS","0.58","yes","n","yes","1.38e+00"
"5827","N/A LIVER FIBROSIS","0.18","yes","n","yes","1.28e+00"
"7578","REPRODUCTIVE FAILURE","0.1","yes","n","yes","1.05e+00"
"7458","N/A BREAST CANCER","0.08","yes","n","yes","1.29e+00"
"6317","IMPAIRED FERTILITY","0","yes","n","yes","8.79e-01"
