"nodes","name","%ppp","matched","mie","ao","pod"
"6176","ACTIVATION PXR/SXR","17.08","yes","yes","n","2.59e+01"
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","8.62","yes","yes","n","1.70e+01"
"7395","INHIBITION DUAL OXIDASE","5.9","yes","yes","n","1.70e+01"
"5833","N/A COVALENT BINDING TO PROTEIN POSSIBLY LYSINE RESIDUE","0","yes","yes","n","2.04e+01"
