"nodes","name","%ppp","matched","mie","ao","pod"
"7578","REPRODUCTIVE FAILURE","0.45","yes","n","yes","4.58e+00"
"6022","INCREASED LIVER STEATOSIS","0.01","yes","n","yes","3.74e+01"
