"nodes","name","%ppp","matched","mie","ao","pod"
"6354","INCREASE SITE OF CONTACT NASAL TUMORS","10.52","yes","n","yes","2.77e+00"
"6499","REDUCED REPRODUCTIVE SUCCESS","3.37","yes","n","yes","3.68e+00"
"7578","REPRODUCTIVE FAILURE","0.02","yes","n","yes","3.68e+00"
"5677","INCREASED MORTALITY","0.01","yes","n","yes","6.29e+00"
