"nodes","name","%ppp","matched","mie","ao","pod"
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","1.28","yes","yes","n","1.08e+00"
"7395","INHIBITION DUAL OXIDASE","0.88","yes","yes","n","1.08e+00"
"7115","INHIBITION DEIODINASE 2","0.01","yes","yes","n","1.08e+00"
"7139","INHIBITION DEIODINASE 1","0.01","yes","yes","n","1.08e+00"
"6176","ACTIVATION PXR/SXR","0.01","yes","yes","n","2.26e-01"
