"nodes","name","%ppp","matched","mie","ao","pod"
"7387","INHIBITION IODOTYROSINE DEIODINASE IYD","2.9","yes","yes","n","5.65e+00"
"7395","INHIBITION DUAL OXIDASE","1.99","yes","yes","n","5.65e+00"
"7115","INHIBITION DEIODINASE 2","0.01","yes","yes","n","4.24e+00"
"7139","INHIBITION DEIODINASE 1","0.01","yes","yes","n","4.24e+00"
