"","x"
"1",106
"2",196
"3",201
"4",194
"5",124
"6",203
"7",326
"8",0
"9",184
"10",126
"11",60
"12",211
"13",262
"14",249
"15",188
"16",184
"17",198
"18",244
"19",168
"20",167
"21",261
"22",230
"23",280
"24",187
"25",337
"26",163
"27",164
"28",219
"29",102
"30",203
"31",220
"32",169
"33",172
"34",272
"35",190
"36",161
