DNA alkylation,GO:0006305,56165,54496,221656,163589,55904,4552,2353,201164,51409,143689,79813,55929,136991,84944,57459,1789,9219,11022,2778,200424,54456,54514,29947,54815,91646,10664,55729,57673,8468,1788,2146,122402,546,10919,346171,1787,9463,10155,11176,4297,4255,140690,55124,1786,359787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein alkylation,GO:0008213,26038,30827,4204,10919,80349,9545,7468,84661,149281,2107,9739,64324,51451,57673,56950,51742,51111,3275,3006,80204,140690,23463,221143,3007,84787,79823,11105,196483,54790,7403,387893,63925,9757,63976,23512,3276,64754,5929,23168,51409,6839,55818,6628,55904,84444,55870,11108,5110,9646,9070,3662,59336,2145,80335,63978,79723,22976,6634,6304,79918,93166,79609,79624,8085,2935,7832,58508,84332,80854,55251,7799,8726,2146,10196,10498,196541,9869,28989,3008,29072,23067,4297,399818,56341,2091,54904,5865,151194,115294,29104,79813,254013,83852,54093,90826,51504,54496,5870,79084,200424,84193,143241,5926,8473,10419,56979,11091,55170,345630,9971,2122,150572,55352,4221,6419,635,11107
